mode,target_ratio,seed,base_n_attempts,base_p10_vox,base_p50_vox,base_ratio,intended_T_vox,iters,r_base_vox,r_final_vox,voxels_base,voxels_added_by_necks,voxels_removed_by_shrink,voxels_final,voxels_net_residual,phi_Ni_base,phi_Ni_final,P_span,percolates,n_clusters,n_peaks,ws_n_regions_used,ws_d_volweighted_nm,d_cPSD_r50max_nm,neck_p10_nm,neck_p50_nm,n_nodes,n_edges,mean_degree,achieved_ratio
base,1.0,0,1,5.0,16.0,3.2,,0,14.0,13.996826171875,717909,0,159,717750,-159,0.3299214154411765,0.3298483455882353,1.0,True,1,65,33,611.7534969464047,504.13331130593326,119.9999957179898,319.9999980552093,63,137,4.349206349206349,
base,1.0,1,1,5.300000000000001,16.0,3.0188679245283017,,0,14.0,13.996826171875,706984,0,176,706808,-176,0.32490073529411767,0.3248198529411765,1.0,True,1,64,32,609.7940252196173,512.5962008900042,123.89465950946034,319.9999980552093,64,137,4.28125,
base,1.0,2,1,5.0,16.0,3.2,,0,14.0,13.996826171875,689828,0,185,689643,-185,0.31701654411764707,0.3169315257352941,1.0,True,1,64,32,604.9644496496446,508.98797547589373,119.9999957179898,319.9999980552093,64,137,4.28125,
base,1.0,3,1,6.0,16.5,2.75,,0,14.0,13.996826171875,711302,0,171,711131,-171,0.32688511029411765,0.3268065257352941,1.0,True,1,64,32,614.744113191041,512.5962008900042,119.9999957179898,319.9999980552093,64,138,4.3125,
base,1.0,4,1,6.0,16.0,2.6666666666666665,,0,14.0,13.996826171875,711925,0,161,711764,-161,0.32717141544117645,0.32709742647058826,1.0,True,1,64,32,612.2658875143301,490.32757368343545,119.9999957179898,319.9999980552093,64,138,4.3125,
lower_tail,1.5,0,1,5.0,16.0,3.2,8.499999812662054,5,14.0,13.95556640625,717909,2238,2185,717962,53,0.3299214154411765,0.3299457720588235,1.0,True,1,65,33,612.0187587638276,502.9116829836278,159.99999902760464,319.9999980552093,64,138,4.3125,1.333333372807931
lower_tail,1.5,1,1,5.300000000000001,16.0,3.0188679245283017,8.67039135353889,3,14.0,13.95556640625,706984,2192,2225,706951,-33,0.32490073529411767,0.3248855698529412,1.0,True,1,64,32,609.9341252744456,512.5962008900042,200.00000233721948,319.9999980552093,64,135,4.21875,1.6142746033532454
lower_tail,1.5,2,1,5.0,16.0,3.2,8.499999812662054,5,14.0,13.95556640625,689828,2329,2402,689755,-73,0.31701654411764707,0.3169829963235294,1.0,True,1,64,32,603.733010452603,508.98797547589373,159.99999902760464,319.9999980552093,64,137,4.28125,1.333333372807931
lower_tail,1.5,3,1,6.0,16.5,2.75,8.499999812662054,5,14.0,13.9619140625,711302,1843,1867,711278,-24,0.32688511029411765,0.3268740808823529,1.0,True,1,64,32,614.2344599014089,512.5962008900042,159.99999902760464,319.9999980552093,64,137,4.28125,1.333333372807931
lower_tail,1.5,4,1,6.0,16.0,2.6666666666666665,8.499999812662054,5,14.0,13.958740234375,711925,1976,2008,711893,-32,0.32717141544117645,0.32715670955882353,1.0,True,1,64,32,612.3590095036795,487.47302975087604,159.99999902760464,319.9999980552093,63,136,4.317460317460317,1.333333372807931
lower_tail,2.0,0,1,5.0,16.0,3.2,10.999999839424618,2,14.0,13.857177734375,717909,6675,6734,717850,-59,0.3299214154411765,0.32989430147058824,1.0,True,1,65,33,612.3354216782138,501.6868206002452,239.9999914359796,319.9999980552093,64,136,4.25,2.0
lower_tail,2.0,1,1,5.300000000000001,16.0,3.0188679245283017,11.146049731604762,2,14.0,13.907958984375,706984,4562,4548,706998,14,0.32490073529411767,0.32490716911764705,1.0,True,1,64,32,610.1974994889562,512.5962008900042,239.9999914359796,319.9999980552093,64,135,4.21875,1.9371294322630082
lower_tail,2.0,2,1,5.0,16.0,3.2,10.999999839424618,2,14.0,13.857177734375,689828,7345,7401,689772,-56,0.31701654411764707,0.3169908088235294,1.0,True,1,64,32,603.9707641687484,508.98797547589373,239.9999914359796,319.9999980552093,64,136,4.25,2.0
lower_tail,2.0,3,1,6.0,16.5,2.75,10.999999839424618,2,14.0,13.882568359375,711302,5607,5569,711340,38,0.32688511029411765,0.32690257352941177,1.0,True,1,64,32,614.5278504300031,512.5962008900042,239.9999914359796,319.9999980552093,64,137,4.28125,2.0
lower_tail,2.0,4,1,6.0,16.0,2.6666666666666665,10.999999839424618,2,14.0,13.882568359375,711925,5593,5596,711922,-3,0.32717141544117645,0.3271700367647059,1.0,True,1,64,32,610.9559635968379,486.5171139303939,239.9999914359796,319.9999980552093,63,138,4.380952380952381,2.0
