mode,target_ratio,seed,intended_T_vox,iters,r_base_vox,r_final_vox,voxels_base,voxels_added_by_necks,voxels_removed_by_shrink,voxels_final,voxels_net_residual,phi_Ni_base,phi_Ni_final,P_span,percolates,n_clusters,n_peaks,ws_n_regions_used,ws_d_volweighted_nm,d_cPSD_r50max_nm,neck_p10_nm,neck_p50_nm,n_nodes,n_edges,achieved_ratio
base,1.0,0,,0,8.0,7.890625,280356,0,0,280356,0,0.21125397858796297,0.21125397858796297,1.0,True,1,125,75,350.4271223219653,295.6294132291881,39.99999975690116,119.9999957179898,125,260,
base,1.0,1,,0,8.0,7.890625,276090,0,0,276090,0,0.2080394603587963,0.2080394603587963,1.0,True,1,125,75,348.44245591806634,295.6294132291881,79.99999951380232,119.9999957179898,125,260,
base,1.0,2,,0,8.0,7.890625,277399,0,0,277399,0,0.2090258186246142,0.2090258186246142,1.0,True,1,125,75,349.13536010518595,295.6294132291881,39.99999975690116,119.9999957179898,125,260,
base,1.0,3,,0,8.0,7.890625,275063,0,0,275063,0,0.2072655948591821,0.2072655948591821,1.0,True,1,125,75,349.3248780562167,295.6294132291881,39.99999975690116,119.9999957179898,125,260,
base,1.0,4,,0,8.0,7.890625,275605,0,0,275605,0,0.20767400294174382,0.20767400294174382,1.0,True,1,125,75,347.4907281641771,295.6294132291881,39.99999975690116,119.9999957179898,125,260,
lower_tail,1.5,0,3.499999989364426,5,8.0,7.890625,280356,650,0,281006,650,0.21125397858796297,0.21174376687885801,1.0,True,1,125,75,350.7203932187404,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
lower_tail,1.5,1,6.499999981767587,2,8.0,7.78125,276090,11480,12764,274806,-1284,0.2080394603587963,0.20707194010416666,1.0,True,1,125,75,348.229480084413,312.40998703626605,119.9999957179898,119.9999957179898,125,260,1.4999999555910788
lower_tail,1.5,2,3.499999989364426,5,8.0,7.890625,277399,825,0,278224,825,0.2090258186246142,0.20964747299382716,1.0,True,1,125,75,349.5585510361841,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
lower_tail,1.5,3,3.499999989364426,5,8.0,7.890625,275063,630,0,275693,630,0.2072655948591821,0.20774031274112653,1.0,True,1,125,75,349.6566187353541,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
lower_tail,1.5,4,3.499999989364426,5,8.0,7.890625,275605,650,0,276255,650,0.20767400294174382,0.2081637912326389,1.0,True,1,125,75,347.8182739285217,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
lower_tail,2.0,0,3.499999989364426,3,8.0,7.890625,280356,650,0,281006,650,0.21125397858796297,0.21174376687885801,1.0,True,1,125,75,350.7203932187404,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
lower_tail,2.0,1,7.749999984806323,3,8.0,6.6875,276090,37730,38353,275467,-623,0.2080394603587963,0.20757001711998457,1.0,True,1,125,75,350.5787697813367,204.15694569789997,159.99999902760464,159.99999902760464,125,260,2.0
lower_tail,2.0,2,3.499999989364426,3,8.0,7.890625,277399,825,0,278224,825,0.2090258186246142,0.20964747299382716,1.0,True,1,125,75,349.5585510361841,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
lower_tail,2.0,3,3.499999989364426,3,8.0,7.890625,275063,630,0,275693,630,0.2072655948591821,0.20774031274112653,1.0,True,1,125,75,349.6566187353541,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
lower_tail,2.0,4,3.499999989364426,3,8.0,7.890625,275605,650,0,276255,650,0.20767400294174382,0.2081637912326389,1.0,True,1,125,75,347.8182739285217,295.6294132291881,79.99999951380232,119.9999957179898,125,260,2.0
