mode,target_ratio,seed,achieved_p10_ratio,neck_p10_nm,neck_p50_nm,neck_p50_ratio,ws_dev_pct,cpsd_dev_pct,phi_dev_pct,primary_size_dev_pct,n_nodes,P_span,n_clusters,voxels_added,voxels_removed,voxels_net_residual
lower_tail,1.5,0,2.0,79.99999951380232,119.9999957179898,1.0,0.08368955428787637,0.0,0.23184807887114353,0.0,125,1.0,1,650,0,650
lower_tail,1.5,1,1.4999999555910788,119.9999957179898,119.9999957179898,1.0,-0.06112223985225586,5.676219298946654,-0.4650657394328035,-1.386138613861386,125,1.0,1,11480,12764,-1284
lower_tail,1.5,2,2.0,79.99999951380232,119.9999957179898,1.0,0.1212111345211923,0.0,0.2974055421973413,0.0,125,1.0,1,825,0,825
lower_tail,1.5,3,2.0,79.99999951380232,119.9999957179898,1.0,0.09496623343385524,0.0,0.22903843846681204,0.0,125,1.0,1,630,0,630
lower_tail,1.5,4,2.0,79.99999951380232,119.9999957179898,1.0,0.09426028892197275,0.0,0.23584477785236843,0.0,125,1.0,1,650,0,650
lower_tail,2.0,0,2.0,79.99999951380232,119.9999957179898,1.0,0.08368955428787637,0.0,0.23184807887114353,0.0,125,1.0,1,650,0,650
lower_tail,2.0,1,2.0,159.99999902760464,159.99999902760464,1.333333372807931,0.6131037785397436,-30.941598987775173,-0.22565105581513553,-15.247524752475247,125,1.0,1,37730,38353,-623
lower_tail,2.0,2,2.0,79.99999951380232,119.9999957179898,1.0,0.1212111345211923,0.0,0.2974055421973413,0.0,125,1.0,1,825,0,825
lower_tail,2.0,3,2.0,79.99999951380232,119.9999957179898,1.0,0.09496623343385524,0.0,0.22903843846681204,0.0,125,1.0,1,630,0,630
lower_tail,2.0,4,2.0,79.99999951380232,119.9999957179898,1.0,0.09426028892197275,0.0,0.23584477785236843,0.0,125,1.0,1,650,0,650
lower_tail,2.5,0,2.9999999111821576,119.9999957179898,119.9999957179898,1.0,-0.11427900033043896,6.538896627413012,-0.5649959337413889,-0.693069306930693,125,1.0,1,5730,7314,-1584
lower_tail,2.5,1,2.5000000444089214,200.00000233721948,200.00000233721948,1.6666667456158624,0.12313051239749997,-36.34664340459792,7.487413524575314,-87.32673267326733,100,1.0,1,60391,39719,20672
lower_tail,2.5,2,2.9999999111821576,119.9999957179898,119.9999957179898,1.0,-0.09661104444105334,6.538896627413012,-0.5140609735435281,-0.693069306930693,125,1.0,1,5860,7286,-1426
lower_tail,2.5,3,2.9999999111821576,119.9999957179898,119.9999957179898,1.0,-0.09619483066585306,6.538896627413012,-0.5006125869346295,-0.693069306930693,125,1.0,1,6025,7402,-1377
lower_tail,2.5,4,2.9999999111821576,119.9999957179898,119.9999957179898,1.0,-0.09699435693202892,6.538896627413012,-0.6179133179731802,-0.693069306930693,125,1.0,1,5675,7378,-1703
uniform,1.5,0,2.0,79.99999951380232,159.99999902760464,1.333333372807931,0.8660673126735922,-6.892261204145312,0.6973276833739958,-5.544554455445544,125,1.0,1,23873,21918,1955
uniform,1.5,1,1.9408326619444596,155.26661201192843,200.00000233721948,1.6666667456158624,11.360210877790426,-5.499712463349597,36.215726755768046,-87.32673267326733,86,1.0,1,127390,27402,99988
uniform,1.5,2,2.0,79.99999951380232,159.99999902760464,1.333333372807931,0.7130361109128468,-6.892261204145312,0.28154391328015044,-5.544554455445544,125,1.0,1,23016,22235,781
uniform,1.5,3,2.0,79.99999951380232,159.99999902760464,1.333333372807931,0.7408206694428298,-6.892261204145312,-0.1494203146188412,-5.544554455445544,125,1.0,1,22520,22931,-411
uniform,1.5,4,2.0,79.99999951380232,159.99999902760464,1.333333372807931,0.4487111329730991,-6.892261204145312,-0.28519076214146366,-5.544554455445544,125,1.0,1,21992,22778,-786
uniform,2.0,0,2.0,79.99999951380232,159.99999902760464,1.333333372807931,-0.002075262916165139,-22.96414355201125,0.6473911740786709,-87.32673267326733,84,1.0,1,53668,51853,1815
uniform,2.0,1,2.5000000444089214,200.00000233721948,239.9999914359796,2.0,19.50385083553495,-8.590805597949991,67.31573037777535,-87.32673267326733,96,1.0,1,198703,12851,185852
uniform,2.0,2,2.0,79.99999951380232,159.99999902760464,1.333333372807931,-0.9700884763711588,-22.96414355201125,0.30245242412553597,-87.32673267326733,85,1.0,1,52597,51758,839
uniform,2.0,3,2.0,79.99999951380232,159.99999902760464,1.333333372807931,2.2318210873984454,-23.14306822540591,0.08143588923264637,-29.10891089108911,118,1.0,1,51006,50782,224
uniform,2.0,4,2.0,79.99999951380232,159.99999902760464,1.333333372807931,1.2531094277159256,-26.53609428513926,0.14622376226847003,-34.65346534653465,113,1.0,1,51405,51002,403
uniform,2.5,0,2.9999999111821576,119.9999957179898,200.00000233721948,1.6666667456158624,7.820392490279903,-18.687203068532554,19.28797671531908,-87.32673267326733,79,1.0,1,89883,35808,54075
uniform,2.5,1,2.9999999111821576,239.9999914359796,279.99999474559445,2.3333333728079313,23.23321778305157,0.571229169869532,88.07961172081566,-87.32673267326733,100,1.0,1,249180,6001,243179
uniform,2.5,2,2.9999999111821576,119.9999957179898,200.00000233721948,1.6666667456158624,5.409420668292518,-18.687203068532554,19.294950594630844,-87.32673267326733,91,1.0,1,88295,34771,53524
uniform,2.5,3,2.9999999111821576,119.9999957179898,200.00000233721948,1.6666667456158624,8.307216572561636,-22.96414355201125,16.840505629619386,-87.32673267326733,77,1.0,1,85661,39339,46322
uniform,2.5,4,2.9999999111821576,119.9999957179898,200.00000233721948,1.6666667456158624,5.15215514162695,-21.502155721847938,17.371600660365388,-87.32673267326733,86,1.0,1,85676,37799,47877
