p,L,connectivity,n_real,P_span_z,P_span_y,P_span_x,P_span_any_axis_mean
0.15,100,6,6,0.0,0.0,0.0,0.0
0.16,100,6,6,0.0,0.0,0.0,0.0
0.17,100,6,6,0.0,0.0,0.0,0.0
0.18,100,6,6,0.0,0.0,0.0,0.0
0.19,100,6,6,0.0,0.0,0.0,0.0
0.2,100,6,6,0.0,0.0,0.0,0.0
0.21,100,6,6,0.0,0.0,0.0,0.0
0.22,100,6,6,0.0,0.0,0.0,0.0
0.23,100,6,6,0.0,0.0,0.0,0.0
0.24,100,6,6,0.0,0.0,0.0,0.0
0.25,100,6,6,0.0,0.0,0.0,0.0
0.26,100,6,6,0.0,0.0,0.0,0.0
0.27,100,6,6,0.0,0.0,0.0,0.0
0.28,100,6,6,0.0,0.0,0.0,0.0
0.29,100,6,6,0.0,0.0,0.0,0.0
0.3,100,6,6,0.0,0.0,0.0,0.0
0.31,100,6,6,0.0,0.16666666666666666,0.0,0.05555555555555555
0.32,100,6,6,1.0,1.0,1.0,1.0
0.33,100,6,6,1.0,1.0,1.0,1.0
0.34,100,6,6,1.0,1.0,1.0,1.0
0.35,100,6,6,1.0,1.0,1.0,1.0
0.36,100,6,6,1.0,1.0,1.0,1.0
0.37,100,6,6,1.0,1.0,1.0,1.0
0.38,100,6,6,1.0,1.0,1.0,1.0
0.39,100,6,6,1.0,1.0,1.0,1.0
0.4,100,6,6,1.0,1.0,1.0,1.0
0.41,100,6,6,1.0,1.0,1.0,1.0
0.42,100,6,6,1.0,1.0,1.0,1.0
0.43,100,6,6,1.0,1.0,1.0,1.0
0.44,100,6,6,1.0,1.0,1.0,1.0
0.45,100,6,6,1.0,1.0,1.0,1.0
