p,L,connectivity,n_real,P_span_z,P_span_y,P_span_x,P_span_any_axis_mean
0.12,100,18,16,0.0,0.0,0.0,0.0
0.1225,100,18,16,0.0,0.0,0.0,0.0
0.125,100,18,16,0.0,0.0,0.0,0.0
0.1275,100,18,16,0.0,0.0,0.0,0.0
0.13,100,18,16,0.0,0.0,0.0,0.0
0.1325,100,18,16,0.0,0.0,0.0,0.0
0.135,100,18,16,0.0625,0.1875,0.125,0.125
0.1375,100,18,16,0.25,0.3125,0.5,0.3541666666666667
0.14,100,18,16,0.6875,0.75,0.875,0.7708333333333334
0.1425,100,18,16,1.0,1.0,1.0,1.0
0.145,100,18,16,1.0,1.0,1.0,1.0
0.1475,100,18,16,1.0,1.0,1.0,1.0
0.15,100,18,16,1.0,1.0,1.0,1.0
0.1525,100,18,16,1.0,1.0,1.0,1.0
0.155,100,18,16,1.0,1.0,1.0,1.0
0.1575,100,18,16,1.0,1.0,1.0,1.0
0.16,100,18,16,1.0,1.0,1.0,1.0
0.085,100,26,16,0.0,0.0,0.0,0.0
0.0875,100,26,16,0.0,0.0,0.0,0.0
0.09,100,26,16,0.0,0.0,0.0,0.0
0.0925,100,26,16,0.0,0.0,0.0,0.0
0.095,100,26,16,0.0,0.0,0.0,0.0
0.0975,100,26,16,0.25,0.3125,0.3125,0.2916666666666667
0.1,100,26,16,0.6875,0.6875,0.6875,0.6875
0.1025,100,26,16,1.0,1.0,1.0,1.0
0.105,100,26,16,1.0,1.0,1.0,1.0
0.1075,100,26,16,1.0,1.0,1.0,1.0
0.11,100,26,16,1.0,1.0,1.0,1.0
0.1125,100,26,16,1.0,1.0,1.0,1.0
0.115,100,26,16,1.0,1.0,1.0,1.0
