p,L,connectivity,n_real,P_span_z,P_span_y,P_span_x,P_span_any_axis_mean
0.29,50,6,40,0.0,0.0,0.0,0.0
0.2925,50,6,40,0.0,0.0,0.0,0.0
0.295,50,6,40,0.0,0.05,0.0,0.016666666666666666
0.2975,50,6,40,0.0,0.025,0.0,0.008333333333333333
0.3,50,6,40,0.025,0.0,0.0,0.008333333333333333
0.3025,50,6,40,0.075,0.025,0.025,0.041666666666666664
0.305,50,6,40,0.1,0.025,0.1,0.075
0.3075,50,6,40,0.175,0.1,0.1,0.125
0.31,50,6,40,0.2,0.15,0.15,0.16666666666666666
0.3125,50,6,40,0.25,0.225,0.3,0.25833333333333336
0.315,50,6,40,0.35,0.625,0.5,0.49166666666666664
0.3175,50,6,40,0.7,0.575,0.625,0.6333333333333333
0.32,50,6,40,0.85,0.8,0.8,0.8166666666666667
0.3225,50,6,40,0.85,0.85,0.85,0.85
0.325,50,6,40,0.925,0.85,0.975,0.9166666666666666
0.3275,50,6,40,0.95,1.0,0.95,0.9666666666666667
0.33,50,6,40,1.0,1.0,1.0,1.0
0.3325,50,6,40,1.0,1.0,1.0,1.0
0.335,50,6,40,1.0,1.0,1.0,1.0
0.29,100,6,24,0.0,0.0,0.0,0.0
0.2925,100,6,24,0.0,0.0,0.0,0.0
0.295,100,6,24,0.0,0.0,0.0,0.0
0.2975,100,6,24,0.0,0.0,0.0,0.0
0.3,100,6,24,0.0,0.0,0.0,0.0
0.3025,100,6,24,0.0,0.0,0.0,0.0
0.305,100,6,24,0.0,0.0,0.0,0.0
0.3075,100,6,24,0.041666666666666664,0.0,0.0,0.013888888888888888
0.31,100,6,24,0.125,0.16666666666666666,0.16666666666666666,0.1527777777777778
0.3125,100,6,24,0.2916666666666667,0.25,0.2916666666666667,0.2777777777777778
0.315,100,6,24,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6944444444444444
0.3175,100,6,24,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9305555555555556
0.32,100,6,24,1.0,1.0,1.0,1.0
0.3225,100,6,24,1.0,1.0,1.0,1.0
0.325,100,6,24,1.0,1.0,1.0,1.0
0.3275,100,6,24,1.0,1.0,1.0,1.0
0.33,100,6,24,1.0,1.0,1.0,1.0
0.3325,100,6,24,1.0,1.0,1.0,1.0
0.335,100,6,24,1.0,1.0,1.0,1.0
0.29,160,6,12,0.0,0.0,0.0,0.0
0.2925,160,6,12,0.0,0.0,0.0,0.0
0.295,160,6,12,0.0,0.0,0.0,0.0
0.2975,160,6,12,0.0,0.0,0.0,0.0
0.3,160,6,12,0.0,0.0,0.0,0.0
0.3025,160,6,12,0.0,0.0,0.0,0.0
0.305,160,6,12,0.0,0.0,0.0,0.0
0.3075,160,6,12,0.0,0.0,0.0,0.0
0.31,160,6,12,0.0,0.0,0.0,0.0
0.3125,160,6,12,0.3333333333333333,0.3333333333333333,0.25,0.3055555555555556
0.315,160,6,12,1.0,1.0,0.9166666666666666,0.9722222222222222
0.3175,160,6,12,1.0,1.0,1.0,1.0
0.32,160,6,12,1.0,1.0,1.0,1.0
0.3225,160,6,12,1.0,1.0,1.0,1.0
0.325,160,6,12,1.0,1.0,1.0,1.0
0.3275,160,6,12,1.0,1.0,1.0,1.0
0.33,160,6,12,1.0,1.0,1.0,1.0
0.3325,160,6,12,1.0,1.0,1.0,1.0
0.335,160,6,12,1.0,1.0,1.0,1.0
