z,Ni,YSZ,pore
0,0.210082337746206,0.32020593405804904,0.46971172819574497
10,0.21550111218742152,0.3332014853083629,0.4512974025042156
20,0.2288751659311879,0.33284540594840883,0.43827942812040327
30,0.2453942883794353,0.33467782441789545,0.41992788720266927
40,0.2574395472320884,0.3410755928676497,0.4014848599002619
50,0.2551492483765651,0.34968203996699315,0.39516871165644174
60,0.25651302335593584,0.3515395723459979,0.39194740429806624
70,0.26874798191798516,0.3444085674308471,0.3868434506511678
80,0.2820704624547053,0.33665330247910163,0.38127623506619307
90,0.29506287446632945,0.32712930075700497,0.3778078247766656
100,0.30569547590858537,0.31971038280773506,0.37459414128367957
110,0.3078386790083593,0.3120784450902307,0.38008287590141
120,0.3004179672084096,0.31919061457324294,0.3803914182183475
130,0.28676541814659345,0.3188748968535859,0.3943596849998206
140,0.27834822229397627,0.3152993039859362,0.40635247372008754
150,0.2610976572310121,0.3070251677250386,0.43187717504394935
160,0.24384574678003804,0.30719872277831595,0.44895553044164604
170,0.22488295124313853,0.3146884978294407,0.4604285509274208
180,0.20915895310874322,0.32236617873928175,0.46847486815197503
190,0.1972679654145589,0.33035374735407025,0.4723782872313709
200,0.18667751946327987,0.3426940946435619,0.47062838589315825
210,0.1625798263552542,0.3538769597818678,0.4835432138628781
220,0.1629560865353568,0.35441152728446884,0.48263238618017434
230,0.1772306533204176,0.3596468804936677,0.4631224661859147
240,0.1967665841495354,0.35218804936677073,0.4510453664836939
250,0.2154078319520683,0.34449736303950057,0.4400948050084311
260,0.23003354500771356,0.3387077099702221,0.43125874502206435
270,0.23897050909482295,0.3401670074982958,0.4208624834068812
280,0.24530863200947153,0.3296801564237793,0.4250112115667492
290,0.2500977648620529,0.3192457754816489,0.43065645965629823
300,0.24612662791949197,0.31484142359989953,0.43903194848060845
310,0.23873999928245973,0.3115622645570983,0.449697736160442
320,0.24312730958275033,0.30381417500807234,0.45305851540917735
330,0.24806488357909087,0.304642485559502,0.4472926308614071
340,0.2585656369963764,0.30590625336347005,0.43552810964015354
350,0.2727720374556022,0.3089396548631292,0.4182883076812686
360,0.29584050873605283,0.30806291034334304,0.3960965809206042
370,0.3047747820471424,0.3106119721594374,0.38461324579342016
380,0.3055963656585226,0.3029719621138736,0.3914316722276038
390,0.30383570121623077,0.3038832382592473,0.39228106052452194
400,0.29296900226025185,0.31753937502242313,0.389491622717325
410,0.27272180963656584,0.33721926236860045,0.3900589279948337
420,0.2520127004628135,0.3426936461808919,0.40529365335629464
430,0.23429707961109317,0.334464356186991,0.4312385642019158
440,0.22387121945969218,0.3253471101065547,0.4507816704337531
450,0.21138691565314102,0.3128197538836867,0.47579333046317224
460,0.20107586194525168,0.30828893552900655,0.4906352025257418
470,0.19568713450292397,0.29999372152262044,0.5043191439744555
480,0.1914218060488645,0.2966176945431062,0.5119604994080292
490,0.19656612133606,0.29665043231801386,0.5067834463459262
