z,Ni,YSZ,pore
0,0.2560338631099752,0.3318459987221468,0.4103421252296143
10,0.25931085775896495,0.3366000119798738,0.4036853086814152
20,0.26255790272342466,0.3387479035220829,0.3982958629502436
30,0.2736921971088571,0.34424716476319783,0.38171721507866785
40,0.29406946330165323,0.3440410111013497,0.36157056145675265
50,0.30659392221068604,0.34765993131539014,0.34553699784362274
60,0.30441608098394696,0.3504167997763757,0.34498941777813275
70,0.29454865825413307,0.35802701461544606,0.3473489537576871
80,0.28340487980193274,0.36346737481031866,0.3530358996885233
90,0.2589629422570082,0.37379702100471207,0.3670793067646354
100,0.23704326731091765,0.38826820940819423,0.3745377765354205
110,0.22638966536219152,0.39603166679977636,0.37742143199424966
120,0.23117213082022203,0.3916729893778452,0.37695172110853764
130,0.2365670673268908,0.391359516013098,0.37194962463062053
140,0.23697238639086335,0.37848863908633495,0.3844206732689082
150,0.25043876287836436,0.3803200622953438,0.3691054029230892
160,0.26003364347895536,0.3779924726459548,0.3618860314671352
170,0.2615116604105103,0.3765359196549796,0.3618386111332961
180,0.251833919016053,0.3770550475201661,0.3708679418576791
190,0.24344351489497643,0.3904355682453478,0.3659247464260043
200,0.228386810158933,0.40651156057822857,0.3648765074674547
210,0.21729694113888667,0.4109960266751857,0.3714988818784442
220,0.20436217155179298,0.4181599912147592,0.37715487980193274
230,0.19882796901205974,0.4256474123472566,0.3751851888826771
240,0.2007781926363709,0.4221273260921652,0.37695172110853764
250,0.2045763117961824,0.41291630061496687,0.3821609695711205
260,0.20606381279450522,0.40220479594281605,0.39131309400207653
270,0.20665232409551954,0.38442516572158775,0.40852218273300855
280,0.2067421731491095,0.3902623592364827,0.40275986342943854
290,0.21779460506349332,0.3872778731730692,0.39476878843542845
300,0.22409751617282964,0.37825353406277457,0.3974407994569124
310,0.225466715917259,0.36964799137449084,0.4046197388387509
320,0.22195860953597957,0.3591745866943535,0.41871705534701703
330,0.22628883475760722,0.3455844181774619,0.4279205934030828
340,0.2291709927322099,0.3423278891462343,0.4283194233687405
350,0.23146913185847776,0.3431914383835157,0.42522062934270427
360,0.21882886750259564,0.3392959827489817,0.44172889545563454
370,0.20922050954396615,0.34727407954636214,0.44335915661688363
380,0.19995208050475202,0.3637404161009504,0.43621366104943693
390,0.1896648630301094,0.3740206453158693,0.43619269627026597
400,0.17659282405558663,0.3935054109096717,0.42971707531347336
410,0.17509683731331363,0.3992362830444853,0.4254362670713202
420,0.18695940819423368,0.39380989936905997,0.4190489976838911
430,0.20810688044085934,0.3898181055826212,0.4019432353645875
440,0.231252994968453,0.3825563054069164,0.3860354604264835
450,0.25237700662886353,0.3764485664084338,0.37105263157894736
