sample,grain,state,roi,roi_um,nvox,t_load_s,t_snow_s,perc_axis,perc_connectivity,perc_n_phase_voxels,perc_volume_fraction,perc_n_clusters,perc_percolates,perc_n_spanning_clusters,perc_percolating_frac,perc_largest_frac,mask_voxels,n_pores,n_throats,snow_sigma,snow_r_max,voxel_size_nm_used,graph_nodes,graph_edges,network_built,n_face_lo,n_face_hi,lcc_nodes,lcc_edges,lcc_face_lo,lcc_face_hi,neck_p10_nm,neck_p50_nm,mean_degree,pore_vol_median_nm3,reason
fine_pre,fine,pristine,z0y0x0,8.0,67240000,4.1,51.6,2,6,21469868,0.31930202260559193,263,True,1,0.9821353349727162,0.9821353349727162,21086316.0,486.0,847.0,0.4,4.0,19.6854264482811,486.0,847.0,True,46.0,47.0,486.0,847.0,46.0,47.0,68.1923140177787,317.4179710185854,3.48559670781893,144257198.58899996,
fine_pre,fine,pristine,z0y0x1,8.0,67240000,4.5,45.6,2,6,21271898,0.3163577929803688,168,True,1,0.9754288968478506,0.9754288968478506,20749224.0,456.0,776.0,0.4,4.0,19.6854264482811,456.0,776.0,True,44.0,36.0,456.0,776.0,44.0,36.0,78.74170648847212,308.75131074026285,3.4035087719298245,138844836.01799995,
fine_pre,fine,pristine,z0y1x0,8.0,67240000,4.5,49.6,2,6,22145435,0.3293491225461035,211,True,1,0.9876553790882862,0.9876553790882862,21872058.0,598.0,1169.0,0.4,4.0,19.6854264482811,598.0,1169.0,True,36.0,55.0,598.0,1169.0,36.0,55.0,65.68960984054698,252.09646992152557,3.9096989966555182,107041961.37599996,
fine_pre,fine,pristine,z0y1x1,8.0,67240000,4.3,51.5,2,6,21528246,0.3201702260559191,197,True,1,0.9815410414763934,0.9815410414763934,21130857.0,486.0,831.0,0.4,4.0,19.6854264482811,486.0,831.0,True,47.0,35.0,486.0,831.0,47.0,35.0,68.1923140177787,319.8503293333488,3.419753086419753,134916200.74799994,
fine_pre,fine,pristine,z0y2x0,8.0,67240000,5.2,50.0,2,6,23216220,0.3452739440809042,147,True,1,0.9861610546419701,0.9861610546419701,22894932.0,529.0,1038.0,0.4,4.0,19.6854264482811,529.0,1038.0,True,44.0,60.0,529.0,1038.0,44.0,60.0,68.1923140177787,289.31549422850367,3.9243856332703215,123321005.38799997,
fine_pre,fine,pristine,z0y2x1,8.0,67240000,4.4,46.8,2,6,22259226,0.33104143367043426,172,True,1,0.9786724390147259,0.9786724390147259,21784491.0,498.0,931.0,0.4,4.0,19.6854264482811,498.0,931.0,True,59.0,37.0,498.0,931.0,59.0,37.0,68.1923140177787,299.83948479639366,3.7389558232931726,153903333.14999992,
medium_pre,medium,pristine,z0y0x0,8.0,34426880,3.4,22.7,2,6,10329571,0.3000437739347858,59,True,1,0.9712538884722318,0.9712538884722318,10032636.0,141.0,263.0,0.4,4.0,24.60510310110494,141.0,263.0,True,11.0,24.0,141.0,263.0,11.0,24.0,177.42992497460364,669.3312002425955,3.730496453900709,323351867.6674999,
medium_pre,medium,pristine,z0y0x1,8.0,34426880,3.6,22.6,2,6,8968645,0.2605128608808001,77,True,1,0.9446111424858493,0.9446111424858493,8471882.0,186.0,289.0,0.4,4.0,24.60510310110494,186.0,289.0,True,32.0,17.0,186.0,289.0,32.0,17.0,182.78817890404753,448.32631829194725,3.10752688172043,241489786.8287499,
medium_pre,medium,pristine,z0y1x0,8.0,34426880,3.4,20.8,2,6,8027282,0.23316902373958953,131,True,1,0.9554156687157621,0.9554156687157621,7669391.0,183.0,280.0,0.4,4.0,24.60510310110494,183.0,280.0,True,22.0,22.0,183.0,280.0,22.0,22.0,98.42041492902354,428.99537788798625,3.060109289617486,199683594.51249993,
medium_pre,medium,pristine,z0y1x1,8.0,34426880,3.4,23.2,2,6,9458672,0.27474670954788816,87,True,1,0.9460049994333243,0.9460049994333243,8947951.0,151.0,271.0,0.4,4.0,24.60510310110494,151.0,271.0,True,17.0,13.0,151.0,271.0,17.0,13.0,214.502335893485,592.5693358221906,3.589403973509934,508779796.3874998,
