sample,grain,state,L_um,n_pos,nvox,phi_mean,phi_std,pfrac_mean,pfrac_std,perc_rate
fine_pre,fine,pristine,2.0,9,1040400,0.33810318680849244,0.10310232291684818,0.7358689825750626,0.3962103514700427,0.7777777777777778
fine_pre,fine,pristine,3.0,9,3557400,0.30895725967154536,0.06840503459806613,0.7034400528836487,0.38595001908945226,0.7777777777777778
fine_pre,fine,pristine,4.0,9,8405000,0.3214644193271201,0.05840294612696348,0.8328408297426895,0.2960655436745423,0.8888888888888888
fine_pre,fine,pristine,5.0,9,16384000,0.314782477484809,0.029395718052027765,0.9483242090350874,0.023403718846469437,1.0
fine_pre,fine,pristine,6.0,9,28274700,0.31812014902997304,0.017067791144065415,0.9583579651862704,0.028209816329946874,1.0
fine_pre,fine,pristine,8.0,9,67240000,0.32260840934628854,0.017338799572781453,0.9803178744343322,0.00410224283677007,1.0
fine_pre,fine,pristine,10.0,9,131072000,0.3205544586181641,0.013111185712654311,0.9842472746756395,0.002899364412099228,1.0
fine_pre,fine,pristine,12.0,9,226197600,0.32344925999804297,0.003857804481928604,0.9822451115224615,0.0022010602567073146,1.0
medium_pre,medium,pristine,2.0,9,537920,0.18661283792715977,0.10965332168565699,0.41124684601202255,0.46388804400726147,0.4444444444444444
medium_pre,medium,pristine,3.0,9,1815480,0.20539275808295568,0.08739972552435896,0.37747231059835784,0.4319048227951917,0.4444444444444444
medium_pre,medium,pristine,4.0,9,4303360,0.2365085524902505,0.08454362809634787,0.4883068458097896,0.43909011115517205,0.5555555555555556
medium_pre,medium,pristine,5.0,9,8405000,0.23086587348800316,0.05540855521007719,0.6142832463703107,0.4346868597570294,0.6666666666666666
medium_pre,medium,pristine,6.0,9,14523840,0.22122478169226137,0.0308895764932903,0.6965498838149677,0.3760895246536805,0.7777777777777778
medium_pre,medium,pristine,8.0,9,34426880,0.23843366965967677,0.013843693787124734,0.9255357099514663,0.0305719874630378,1.0
medium_pre,medium,pristine,10.0,9,67240000,0.2507012343842951,0.010692970508352672,0.9641989746704014,0.01038758825955577,1.0
medium_pre,medium,pristine,12.0,9,116190720,0.2573546655781881,0.002003885747838014,0.9595966773163929,0.005033943722064133,1.0
coarse_pre,coarse,pristine,2.0,9,318987,0.24817138141819084,0.1663523952154564,0.3333333333333333,0.4714045207910317,0.3333333333333333
coarse_pre,coarse,pristine,3.0,9,1060900,0.30485646358961466,0.1495615571222401,0.5439785076212723,0.48698898603725416,0.5555555555555556
coarse_pre,coarse,pristine,4.0,9,2496277,0.26684213686577607,0.10154317730139721,0.5473633367425976,0.48973115818371243,0.5555555555555556
coarse_pre,coarse,pristine,5.0,9,4940528,0.22623641305814546,0.06537104637075185,0.5363586116012362,0.4805944158405025,0.5555555555555556
coarse_pre,coarse,pristine,6.0,9,8487200,0.2244383306626449,0.04653215468308077,0.4266273226247749,0.4776404533600314,0.4444444444444444
coarse_pre,coarse,pristine,8.0,9,20191875,0.27351307284627,0.025248591598820796,0.8897688401315013,0.06913422582073529,1.0
coarse_pre,coarse,pristine,10.0,9,39177117,0.2595287845084556,0.009518852770511342,0.8612756103921435,0.07360786033990088,1.0
coarse_pre,coarse,pristine,12.0,9,67897600,0.2539628744854997,0.0020620620609894274,0.9371304604628397,0.0020476892138986823,1.0
