n_nodes,n_edges,mean_degree,n_face_lo,n_face_hi,lambda2_raw,lambda2_norm,mincut,mincut_note,g_eff,neck_p10_nm,neck_p25_nm,neck_p50_nm,neck_p90_nm,chamber_vol_median_nm3,chamber_equiv_diam_median_nm,chamber_equiv_diam_mean_nm,sample,grain,r_max,r_max_nm
1051,2350,4.471931493815414,70,71,0.1848029619308301,0.000171706918228324,1613.9585682749082,ok,282.0292405075799,78.74170648847212,184.66568008079776,354.3376863035519,704.3971947950921,39522833.657999985,422.6197778580633,488.1190702558933,fine_pre,fine,2,39.3708528965622
486,847,3.48559670781893,46,47,0.29075121161986395,0.0007440864881744808,960.0168689777353,ok,264.86774521431386,68.1923140177787,171.61357845907332,317.4179710185854,618.7539383972761,144257198.58899996,650.6982278310358,678.3575288708836,fine_pre,fine,4,78.7417057931244
414,706,3.4106280193236715,45,40,0.3406902692458714,0.0012506978718694298,938.4188599651262,ok,259.5981156385955,88.03590390016325,200.75275131148373,338.6809055427875,619.3795911713096,186087628.6919999,708.3365085725371,747.6674408951087,fine_pre,fine,6,118.1125586896866
378,638,3.375661375661376,43,34,0.4178372363635874,0.001978252873462457,911.5177214172309,ok,258.7721215144055,111.35758626323877,212.92466456657166,343.2197246411306,623.7516458895698,219343716.96299994,748.2421894225951,786.9871071704617,fine_pre,fine,8,157.4834115862488
366,951,5.19672131147541,24,36,1.6530305626177952,0.0011347527204103032,4802.785074900545,ok,677.1116848597375,184.1277423864085,399.78561972020543,701.1375373622286,1185.1386716443812,79285037.80624998,533.0044952213316,664.4420258353647,medium_pre,medium,2,49.21020620220988
141,263,3.730496453900709,11,24,2.196855410789804,0.003710597670055206,3478.8429049699157,ok,759.6150366123871,177.42992497460364,384.34401972153864,669.3312002425955,1200.9708143523312,323351867.6674999,851.5802562105672,1006.6691962006079,medium_pre,medium,4,98.42041240441976
116,197,3.396551724137931,9,22,2.1996165044543377,0.004423205520567497,2797.6144053858725,ok,755.0208271095873,177.42992497460364,361.619697741844,602.6995151842129,1191.4387187061948,407761199.13374984,920.0309241805086,1076.2484464544393,medium_pre,medium,6,147.63061860662964
108,182,3.3703703703703702,9,20,2.2008784744304513,0.004593207312587911,2797.6144053858725,ok,753.6095832621514,196.84082985804707,384.34401972153864,602.6995151842129,1199.3569160040352,537767806.4524999,1008.9401212471381,1122.7186003182885,medium_pre,medium,8,196.84082480883953
147,454,6.1768707482993195,4,18,9.40625513944564,0.004912650201497891,201.6097964351008,ok,130.23676714029853,179.40825642881467,316.90501600678544,569.0289981430396,1284.4458524341462,106940641.22399996,588.9088133674503,731.1378718760783,coarse_pre,coarse,2,58.8477838244342
62,145,4.67741935483871,2,12,19.081646132653177,0.011802359122570756,104.36863494532982,ok,97.07350256847253,198.6475012927258,288.29410325670324,516.3872174307471,1116.8309811182553,367312316.77199984,888.5440363647718,1030.5710532117148,coarse_pre,coarse,4,117.6955676488684
48,111,4.625,2,10,23.287692155769264,0.012001886359456045,94.10941270478789,ok,90.25815629443338,195.17602822816116,305.7820379126497,545.7319502966129,1154.6768519110628,615863969.0879998,1055.5903016139714,1167.6774678619283,coarse_pre,coarse,6,176.5433514733026
42,89,4.238095238095238,2,10,25.731174826337636,0.012996376405365604,104.36863494532982,ok,97.05541754467494,232.35056403336785,305.7820379126497,608.7262249820924,1190.1228162969346,793571904.5759996,1148.6716093622506,1251.5920876086743,coarse_pre,coarse,8,235.3911352977368
