n_nodes,n_edges,mean_degree,n_face_lo,n_face_hi,lambda2_raw,lambda2_norm,mincut,mincut_note,g_eff,neck_p10_nm,neck_p25_nm,neck_p50_nm,neck_p90_nm,chamber_vol_median_nm3,chamber_equiv_diam_median_nm,chamber_equiv_diam_mean_nm,sample,roi,roi_um,seconds
62,145,4.67741935483871,2,12,19.081646132743153,0.01180235912257003,104.36863494532982,ok,97.07350256847253,198.6475012927258,288.29410325670324,516.3872174307471,1116.8309811182553,367312316.77199984,888.5440363647718,1030.5710532117148,coarse_pre,z0y0x0,8.0,0.0
83,123,2.963855421686747,14,10,0.9408457401565197,0.0014623376547787449,409.93761332235624,ok,127.38057064817383,205.51950967728772,350.6174550693686,652.653511679091,1188.0423244292615,627378302.0639998,1062.1282432514033,1112.5105619289197,coarse_pre,z0y0x1,8.0,0.0
71,113,3.183098591549296,9,10,1.023945665915825,0.0007436452453018223,306.9248824061977,ok,97.2343288048908,203.85471088957274,385.89072914874123,668.3823698949709,1123.5857755309553,441314832.9119998,944.6044070489463,1042.462978669897,coarse_pre,z0y1x0,8.0,0.0
71,108,3.0422535211267605,12,5,1.7730522204372126,0.0008942551258496028,346.22288488439096,ok,91.19022278479751,176.54335238148633,346.89580274971377,595.5737663043692,1309.9322814014156,427253081.13599986,934.4631796120756,1062.275181356637,coarse_pre,z0y1x1,8.0,0.1
40,64,3.2,2,15,2.417545869498639,0.0015306736737691153,26.509175758592836,ok,22.69550055604739,267.0288921535757,447.12409419389587,699.9893003012403,1111.1980256828247,563438090.1839998,1024.7451235873689,1161.4666026715827,coarse_pre,z0y2x0,8.0,0.0
111,217,3.90990990990991,25,7,3.097428728617082,0.0023474586506046094,357.7549901083761,ok,200.11899167045308,229.3099868211357,448.1713915538421,708.6211439855106,1213.7487374275224,572532375.2999997,1030.2290913770103,1141.4717593802582,coarse_pre,z0y2x1,8.0,0.1
105,212,4.038095238095238,9,22,1.9468944015644787,0.0010765736227249423,72.34223484247293,ok,44.862967018634386,176.54335238148633,446.2226712576012,617.2007829263748,1042.1190381748602,505586209.2359998,988.3987761717256,1072.6055355598787,coarse_pre,z0y3x0,8.0,0.0
88,137,3.1136363636363638,9,12,0.9324587784465752,0.0006384850717447649,404.30877594183187,ok,230.20703807472526,265.48034952611494,452.01841203379445,608.7262249820924,1133.7916248521651,383921487.3479998,901.739856464774,1065.4133379746745,coarse_pre,z0y3x1,8.0,0.0
108,206,3.814814814814815,14,13,0.31929427264203725,0.00015966690404923788,515.642210553324,ok,174.26966485860171,124.64161258662898,269.67444455294753,614.3889095255872,1159.1631050578144,629416237.1039997,1063.277049774767,1050.4118767112227,coarse_pre,z0y4x0,8.0,0.0
486,847,3.48559670781893,46,47,0.2907512115546395,0.0007440864881739684,960.0168689777353,ok,264.86774521431386,68.1923140177787,171.61357845907332,317.4179710185854,618.7539383972761,144257198.58899996,650.6982278310358,678.3575288708836,fine_pre,z0y0x0,8.0,4.7
456,776,3.4035087719298245,44,36,0.47694265766452476,0.001084648447195441,1994.9325737478323,ok,304.34646232764555,78.74170648847212,141.95363462476962,308.75131074026285,643.9246362788253,138844836.01799995,642.4564641784863,679.7834185876966,fine_pre,z0y0x1,8.0,1.2
598,1169,3.9096989966555182,36,55,0.16918320964228079,0.0004376250786806597,701.8786708329047,ok,186.9787596300292,65.68960984054698,111.35758626323877,252.09646992152557,554.5551744035039,107041961.37599996,589.0947404873993,627.3786028284848,fine_pre,z0y1x0,8.0,0.8
486,831,3.419753086419753,47,35,0.17788065424473623,0.0004224493563454007,822.9866190189992,ok,183.31916168911002,68.1923140177787,167.03637584214448,319.8503293333488,606.106596023892,134916200.74799994,636.3389302643882,686.0297696136186,fine_pre,z0y1x1,8.0,1.1
529,1038,3.9243856332703215,44,60,1.0532406130558811,0.001373559619397312,2023.4213297431677,ok,407.8704574702728,68.1923140177787,136.3846280355574,289.31549422850367,618.6338453062492,123321005.38799997,617.5604544589547,661.7932943010469,fine_pre,z0y2x0,8.0,26.1
498,931,3.7389558232931726,59,37,0.5790908104979234,0.0015854669497989285,725.568157270894,ok,173.7946386567356,68.1923140177787,147.31224950992328,299.83948479639366,623.7516458895698,153903333.14999992,664.8899998955884,693.9296227875299,fine_pre,z0y2x1,8.0,3.8
141,263,3.730496453900709,11,24,2.1968554107755973,0.00371059767005666,3478.8429049699157,ok,759.6150366123871,177.42992497460364,384.34401972153864,669.3312002425955,1200.9708143523312,323351867.6674999,851.5802562105672,1006.6691962006079,medium_pre,z0y0x0,8.0,0.1
186,289,3.10752688172043,32,17,2.002190356355161,0.0022852600491464316,965.411635663015,ok,234.66505827649638,182.78817890404753,291.13152777426876,448.32631829194725,748.5641049242985,241489786.8287499,772.621368423483,855.8517921917282,medium_pre,z0y0x1,8.0,0.5
183,280,3.060109289617486,22,22,0.8365941628319239,0.0009320195313410255,513.710276465282,ok,147.0829875799278,98.42041492902354,246.05103021713148,428.99537788798625,884.4157264320529,199683594.51249993,725.1835118189493,825.2529664505502,medium_pre,z0y1x0,8.0,0.5
151,271,3.589403973509934,17,13,1.6717464341970167,0.004877818443372026,1361.9339475049555,ok,291.4430279789909,214.502335893485,344.47145935700973,592.5693358221906,1039.2561762273544,508779796.3874998,990.4755170597736,974.1438792741461,medium_pre,z0y1x1,8.0,1.3
178,295,3.3146067415730336,14,23,0.3650181132416851,0.0005951689907278789,358.2456937538706,ok,116.11934787378793,120.53990872118447,260.35439759652945,442.89186007517856,929.5249469687408,234786495.70374992,765.4053564485554,828.9213399560234,medium_pre,z0y2x0,8.0,0.2
151,274,3.629139072847682,17,12,0.29650113990649424,0.00020563554106627552,1257.5606902093004,ok,454.92761683688025,147.63062949896266,296.2794454219875,518.4406575153844,983.4650427364977,285515513.31749994,816.9780016852751,912.3481445200326,medium_pre,z0y2x1,8.0,0.1
