mode,target_ratio,seed,achieved_ratio,r_final_vox,d_edt_vwmean_nm,cpsd_sizes25_nm,edt_dev_pct,genrad_dev_pct,cpsd25_dev_pct,lt300_nm,lt300_dev_pct
base,1.0,0,1.0,12.0972900390625,151.54416918229103,414.1872778650552,0.0,0.0,0.0,458.49,0.0
base,1.0,1,1.0,12.0972900390625,150.9852070016331,452.4631126323945,0.0,0.0,0.0,458.08,0.0
base,1.0,2,1.0,12.0972900390625,151.15877690328483,439.92476590496153,0.0,0.0,0.0,,
base,1.0,3,1.0,12.0972900390625,151.35111076600836,444.1469770382158,0.0,0.0,0.0,,
base,1.0,4,1.0,12.0972900390625,153.42897665396885,444.1469770382158,0.0,0.0,0.0,,
lower_tail,1.45,0,1.333333372807931,11.8588134765625,150.06264551539022,414.1872778650552,-0.9776183900013351,-1.9713221864562476,0.0,,
lower_tail,1.45,1,1.333333372807931,11.87236328125,149.56955192453495,401.2147558714884,-0.9376117735049719,-1.859315244043961,-11.326527031727998,,
lower_tail,1.45,2,1.333333372807931,11.83984375,149.5144990238031,439.92476590496153,-1.0877819423835273,-2.1281319058334427,0.0,,
lower_tail,1.45,3,1.333333372807931,11.83984375,149.72821348593962,397.58972447580095,-1.07227312165404,-2.1281319058334427,-10.482397712775366,,
lower_tail,1.45,4,1.333333372807931,11.8913330078125,152.21016270283008,439.92476590496153,-0.7943831587220864,-1.702505524666751,-0.9506337657434959,,
lower_tail,2.0,0,2.0,11.3412109375,148.2448272278597,401.2147558714884,-2.177148729795457,-6.249987386605587,-3.1320426017028224,414.65,-9.561822504307626
lower_tail,2.0,1,2.0,11.422509765625,147.93282242288947,396.3726659449262,-2.021644795116005,-5.577945732131868,-12.396689392233215,423.52,-7.544533705902899
lower_tail,2.0,2,2.0,11.276171875,147.42138942267437,396.3726659449262,-2.472491215645215,-6.787620710184565,-9.899897285947304,,
lower_tail,2.0,3,2.0,11.3114013671875,147.8123003548712,396.3726659449262,-2.338146309747416,-6.496402659912614,-10.756419285316662,,
lower_tail,2.0,4,2.0,11.4712890625,150.72052676839115,402.41453150367965,-1.7652792481866766,-5.174720739447631,-9.39608906331594,,
