seed,sizes,base,high,dev_pct,step_change_pp
0,25,414.1872778650553,401.2147558714884,-3.1320426017028486,
0,50,438.20827365747726,402.9346612942735,-8.04950852908249,4.917465927379641
0,100,450.35139790800116,414.16094317542644,-8.036048050630853,0.013460478451635893
0,200,456.45451446137804,414.5312389739334,-9.184546139699073,1.1484980890682195
0,300,458.49345030783456,414.65391821880814,-9.561648494562432,0.37710235486335897
1,25,452.46311263239454,396.3726659449263,-12.3966893922332,
1,50,453.43807204295024,398.06284734549274,-12.212301549352981,0.18438784288021992
1,100,453.91153557622533,419.5647525716129,-7.566845147702697,4.645456401650284
1,200,454.14488016781274,425.19699686030265,-6.374151635666014,1.1926935120366826
1,300,458.0838806317484,423.5196672936095,-7.5453895671838636,1.1712379315178492
