mode,nominal_target_ratio,struct_seed,damage_seed,achieved_p10,ni_vox_n0,edt_p10_n0,edt_p25_n0,ni_vox_n8,ni_retained_n8,edt_p10_n8,edt_p25_n8,P_span_n8,span_vox_n8,span_frac_of_orig_n8,ni_vox_n9,ni_retained_n9,P_span_n9
base,1.0,0,200,1.0,1137116,20.0,40.0,479747,0.4218980297524615,20.0,20.0,1.0,479747.0,0.4218980297524615,396727,0.34888876772466487,0.0
base,1.0,0,201,1.0,1137116,20.0,40.0,478696,0.42097376169185907,20.0,20.0,1.0,478696.0,0.42097376169185907,395335,0.3476646182095758,0.0
base,1.0,0,202,1.0,1137116,20.0,40.0,477712,0.4201084146208478,20.0,20.0,1.0,477712.0,0.4201084146208478,392078,0.34480035458123887,0.0
base,1.0,0,203,1.0,1137116,20.0,40.0,479061,0.4212947491724679,20.0,20.0,1.0,479061.0,0.4212947491724679,395015,0.34738320452794613,1.0
base,1.0,0,204,1.0,1137116,20.0,40.0,479181,0.421400279303079,20.0,20.0,1.0,479181.0,0.421400279303079,396371,0.3485756950038518,0.0
base,1.0,1,200,1.0,1132730,20.0,40.0,474054,0.41850573393483004,20.0,20.0,1.0,474054.0,0.41850573393483004,390513,0.3447538248302773,0.0
base,1.0,1,201,1.0,1132730,20.0,40.0,473888,0.41835918533101446,20.0,20.0,1.0,473888.0,0.41835918533101446,390524,0.3447635358823374,0.0
base,1.0,1,202,1.0,1132730,20.0,40.0,472335,0.4169881613447159,20.0,20.0,1.0,472335.0,0.4169881613447159,389222,0.3436141004475912,0.0
base,1.0,1,203,1.0,1132730,20.0,40.0,473603,0.41810758080036725,20.0,20.0,1.0,473603.0,0.41810758080036725,390674,0.3448959593195201,0.0
base,1.0,1,204,1.0,1132730,20.0,40.0,473623,0.4181252372586583,20.0,20.0,1.0,473623.0,0.4181252372586583,391226,0.3453832775683526,0.0
base,1.0,2,200,1.0,1124513,20.0,40.0,456041,0.40554533384674074,20.0,20.0,1.0,456041.0,0.40554533384674074,376071,0.3344301044096422,0.0
base,1.0,2,201,1.0,1124513,20.0,40.0,454444,0.40412516351522837,20.0,20.0,1.0,454444.0,0.40412516351522837,373851,0.33245591647228623,0.0
base,1.0,2,202,1.0,1124513,20.0,40.0,453901,0.40364228781703726,20.0,20.0,1.0,453901.0,0.40364228781703726,373964,0.33255640441684536,0.0
base,1.0,2,203,1.0,1124513,20.0,40.0,455016,0.40463382815494353,20.0,20.0,1.0,455016.0,0.40463382815494353,374527,0.3330570655919496,0.0
base,1.0,2,204,1.0,1124513,20.0,40.0,456447,0.405906379028077,20.0,20.0,1.0,456447.0,0.405906379028077,376742,0.3350268071600773,0.0
base,1.0,3,200,1.0,1126712,20.0,40.0,472357,0.4192349065244712,20.0,20.0,1.0,472357.0,0.4192349065244712,389571,0.34575916471999946,0.0
base,1.0,3,201,1.0,1126712,20.0,40.0,471807,0.4187467604853769,20.0,20.0,1.0,471807.0,0.4187467604853769,388211,0.3445521126960572,0.0
base,1.0,3,202,1.0,1126712,20.0,40.0,473009,0.41981358146536113,20.0,20.0,1.0,473009.0,0.41981358146536113,390540,0.34661918928705826,0.0
base,1.0,3,203,1.0,1126712,20.0,40.0,472894,0.4197115145662778,20.0,20.0,1.0,472894.0,0.4197115145662778,390021,0.3461585569338039,0.0
base,1.0,3,204,1.0,1126712,20.0,40.0,473598,0.4203363414963185,20.0,20.0,1.0,473598.0,0.4203363414963185,391491,0.34746323816556496,0.0
base,1.0,4,200,1.0,1163964,20.0,40.0,500753,0.4302134773927716,20.0,20.0,1.0,500753.0,0.4302134773927716,413346,0.3551192304916647,0.0
base,1.0,4,201,1.0,1163964,20.0,40.0,499256,0.42892735514156793,20.0,20.0,1.0,499256.0,0.42892735514156793,411925,0.3538984023560866,0.0
base,1.0,4,202,1.0,1163964,20.0,40.0,498326,0.42812836135825505,20.0,20.0,1.0,498326.0,0.42812836135825505,412744,0.35460203236526217,0.0
base,1.0,4,203,1.0,1163964,20.0,40.0,500621,0.43010007182352716,20.0,20.0,1.0,500621.0,0.43010007182352716,413090,0.3548992924179786,0.0
base,1.0,4,204,1.0,1163964,20.0,40.0,500573,0.430058833434711,20.0,20.0,1.0,500573.0,0.430058833434711,414908,0.3564611963943902,0.0
lower_tail,1.45,0,200,1.333333372807931,1137132,20.0,40.0,473488,0.41638789516080804,20.0,20.0,1.0,473488.0,0.41638789516080804,389997,0.34296546047424575,0.0
lower_tail,1.45,0,201,1.333333372807931,1137132,20.0,40.0,472680,0.4156773356127521,20.0,20.0,1.0,472680.0,0.4156773356127521,389039,0.34212299011900116,0.0
lower_tail,1.45,0,202,1.333333372807931,1137132,20.0,40.0,471613,0.41473901007095043,20.0,20.0,1.0,471613.0,0.41473901007095043,385984,0.33943640667925973,0.0
lower_tail,1.45,0,203,1.333333372807931,1137132,20.0,40.0,472523,0.41553926896789467,20.0,20.0,1.0,472523.0,0.41553926896789467,388246,0.341425621651664,0.0
lower_tail,1.45,0,204,1.333333372807931,1137132,20.0,40.0,474366,0.41716001308555206,20.0,20.0,1.0,474366.0,0.41716001308555206,390554,0.3434552892716061,0.0
lower_tail,1.45,1,200,1.333333372807931,1132772,20.0,40.0,468821,0.4138705758970031,20.0,20.0,1.0,468821.0,0.4138705758970031,385000,0.3398742200548742,0.0
lower_tail,1.45,1,201,1.333333372807931,1132772,20.0,40.0,468449,0.4135421779493137,20.0,20.0,1.0,468449.0,0.4135421779493137,384976,0.3398530330905072,0.0
lower_tail,1.45,1,202,1.333333372807931,1132772,20.0,40.0,466578,0.4118904775188652,20.0,20.0,1.0,466578.0,0.4118904775188652,383624,0.3386595007644963,0.0
lower_tail,1.45,1,203,1.333333372807931,1132772,20.0,40.0,469087,0.41410539808540464,20.0,20.0,1.0,469087.0,0.41410539808540464,385378,0.34020791474365536,0.0
lower_tail,1.45,1,204,1.333333372807931,1132772,20.0,40.0,468876,0.4139191293570109,20.0,20.0,1.0,468876.0,0.4139191293570109,385590,0.34039506626223104,0.0
lower_tail,1.45,2,200,1.333333372807931,1124468,20.0,40.0,450309,0.4004640416623683,20.0,20.0,1.0,450309.0,0.4004640416623683,370001,0.3290453796817695,0.0
lower_tail,1.45,2,201,1.333333372807931,1124468,20.0,40.0,462800,0.41157240579545173,20.0,20.0,1.0,462800.0,0.41157240579545173,367318,0.32665936247185334,0.0
lower_tail,1.45,2,202,1.333333372807931,1124468,20.0,40.0,447488,0.39795529975063765,20.0,20.0,1.0,447488.0,0.39795529975063765,367336,0.32667537004165526,0.0
lower_tail,1.45,2,203,1.333333372807931,1124468,20.0,40.0,449528,0.39976949099485265,20.0,20.0,1.0,449528.0,0.39976949099485265,368058,0.32731745145259805,0.0
lower_tail,1.45,2,204,1.333333372807931,1124468,20.0,40.0,450239,0.40040179000202764,20.0,20.0,1.0,450239.0,0.40040179000202764,370386,0.32938776381364343,0.0
lower_tail,1.45,3,200,1.333333372807931,1126755,20.0,40.0,466817,0.41430213311678227,20.0,20.0,1.0,466817.0,0.41430213311678227,382951,0.3398706906115349,0.0
lower_tail,1.45,3,201,1.333333372807931,1126755,20.0,40.0,466711,0.41420805765228463,20.0,20.0,1.0,466711.0,0.41420805765228463,382037,0.33905951160633857,0.0
lower_tail,1.45,3,202,1.333333372807931,1126755,20.0,40.0,466266,0.4138131182022711,20.0,20.0,1.0,466266.0,0.4138131182022711,383753,0.3405824691259413,0.0
lower_tail,1.45,3,203,1.333333372807931,1126755,20.0,40.0,466524,0.4140420943328408,20.0,20.0,1.0,466524.0,0.4140420943328408,383174,0.3400686040887327,0.0
lower_tail,1.45,3,204,1.333333372807931,1126755,20.0,40.0,468203,0.41553221419030756,20.0,20.0,1.0,468203.0,0.41553221419030756,385282,0.34193946332610015,0.0
lower_tail,1.45,4,200,1.333333372807931,1164000,20.0,40.0,495867,0.4260025773195876,20.0,20.0,1.0,495867.0,0.4260025773195876,408094,0.3505962199312715,0.0
lower_tail,1.45,4,201,1.333333372807931,1164000,20.0,40.0,494715,0.4250128865979381,20.0,20.0,1.0,494715.0,0.4250128865979381,406866,0.34954123711340207,0.0
lower_tail,1.45,4,202,1.333333372807931,1164000,20.0,40.0,494079,0.4244664948453608,20.0,20.0,1.0,494079.0,0.4244664948453608,407485,0.3500730240549828,0.0
lower_tail,1.45,4,203,1.333333372807931,1164000,20.0,40.0,495109,0.42535137457044675,20.0,20.0,1.0,495109.0,0.42535137457044675,407128,0.34976632302405497,0.0
lower_tail,1.45,4,204,1.333333372807931,1164000,20.0,40.0,495806,0.42595017182130585,20.0,20.0,1.0,495806.0,0.42595017182130585,410174,0.3523831615120275,0.0
lower_tail,2.0,0,200,2.0,1137101,20.0,40.0,471102,0.414300928413571,20.0,20.0,1.0,471102.0,0.414300928413571,384928,0.33851698310000605,0.0
lower_tail,2.0,0,201,2.0,1137101,20.0,40.0,469265,0.41268541668682024,20.0,20.0,1.0,469265.0,0.41268541668682024,383365,0.33714243501676633,0.0
lower_tail,2.0,0,202,2.0,1137101,20.0,40.0,467966,0.4115430379535327,20.0,20.0,1.0,467966.0,0.4115430379535327,379983,0.3341682049351817,0.0
lower_tail,2.0,0,203,2.0,1137101,20.0,40.0,470837,0.4140678796342629,20.0,20.0,1.0,470837.0,0.4140678796342629,384394,0.3380473678239664,0.0
lower_tail,2.0,0,204,2.0,1137101,20.0,40.0,470554,0.413819001126549,20.0,20.0,1.0,470554.0,0.413819001126549,384166,0.33784685793082586,0.0
lower_tail,2.0,1,200,2.0,1132774,20.0,40.0,466911,0.4121837189059777,20.0,20.0,1.0,466911.0,0.4121837189059777,380173,0.3356123992958878,0.0
lower_tail,2.0,1,201,2.0,1132774,20.0,40.0,466540,0.4118562043267236,20.0,20.0,1.0,466540.0,0.4118562043267236,379946,0.3354120062783927,0.0
lower_tail,2.0,1,202,2.0,1132774,20.0,40.0,464961,0.41046228109049115,20.0,20.0,1.0,464961.0,0.41046228109049115,378494,0.3341301971973227,0.0
lower_tail,2.0,1,203,2.0,1132774,20.0,40.0,467057,0.4123126060449834,20.0,20.0,1.0,467057.0,0.4123126060449834,381314,0.3366196611151033,0.0
lower_tail,2.0,1,204,2.0,1132774,20.0,40.0,466785,0.4120724875394386,20.0,20.0,1.0,466785.0,0.4120724875394386,381727,0.3369842528165371,0.0
lower_tail,2.0,2,200,2.0,1124550,20.0,40.0,460745,0.40971499710995507,20.0,20.0,1.0,460745.0,0.40971499710995507,374000,0.3325774754346183,0.0
lower_tail,2.0,2,201,2.0,1124550,20.0,40.0,458867,0.4080449957760882,20.0,20.0,1.0,458867.0,0.4080449957760882,371045,0.3299497576808501,0.0
lower_tail,2.0,2,202,2.0,1124550,20.0,40.0,458134,0.4073931794940198,20.0,20.0,1.0,458134.0,0.4073931794940198,371712,0.33054288382019476,0.0
lower_tail,2.0,2,203,2.0,1124550,20.0,40.0,459635,0.4087279356186919,20.0,20.0,1.0,459635.0,0.4087279356186919,373218,0.33188208616780046,0.0
lower_tail,2.0,2,204,2.0,1124550,20.0,40.0,461012,0.4099524254146103,20.0,20.0,1.0,461012.0,0.4099524254146103,375194,0.33363923347116625,0.0
lower_tail,2.0,3,200,2.0,1126681,20.0,40.0,464324,0.4121166505869896,20.0,20.0,1.0,464324.0,0.4121166505869896,376415,0.33409190356454044,0.0
lower_tail,2.0,3,201,2.0,1126681,20.0,40.0,464530,0.41229948849763154,20.0,20.0,1.0,464530.0,0.41229948849763154,377669,0.3352049071565066,0.0
lower_tail,2.0,3,202,2.0,1126681,20.0,40.0,464836,0.4125710826755754,20.0,20.0,1.0,464836.0,0.4125710826755754,377478,0.3350353826859599,0.0
lower_tail,2.0,3,203,2.0,1126681,20.0,40.0,465251,0.4129394211848784,20.0,20.0,1.0,465251.0,0.4129394211848784,378414,0.33586614134790593,0.0
lower_tail,2.0,3,204,2.0,1126681,20.0,40.0,465948,0.41355805236797283,20.0,20.0,1.0,465948.0,0.41355805236797283,378950,0.33634187494064427,0.0
lower_tail,2.0,4,200,2.0,1163959,20.0,40.0,492318,0.42296850662265595,20.0,20.0,1.0,492318.0,0.42296850662265595,404316,0.34736275074981166,0.0
lower_tail,2.0,4,201,2.0,1163959,20.0,40.0,492117,0.4227958201276849,20.0,20.0,1.0,492117.0,0.4227958201276849,402731,0.34600101893623403,0.0
lower_tail,2.0,4,202,2.0,1163959,20.0,40.0,490870,0.42172447654943174,20.0,20.0,1.0,490870.0,0.42172447654943174,402527,0.34582575503089025,0.0
lower_tail,2.0,4,203,2.0,1163959,20.0,40.0,493273,0.42378898225796613,20.0,20.0,1.0,493273.0,0.42378898225796613,403939,0.3470388561796421,0.0
lower_tail,2.0,4,204,2.0,1163959,20.0,40.0,492418,0.423054420301746,20.0,20.0,1.0,492418.0,0.423054420301746,404911,0.34787393714039755,0.0
