target_ratio,seed,achieved_p10_ratio,phi_dev_pct,cpsd_dev_pct,neck_p50_ratio,n_nodes,base_n_nodes,mean_degree,P_span,n_clusters,voxels_added_by_necks,voxels_removed_by_shrink,voxels_net_residual,r_final_vox
1.45,0,1.333333372807931,0.01424839705532018,0.0,1.0,98,98,4.224489795918367,1.0,1,12864,12848,16,11.8588134765625
1.45,1,1.333333372807931,0.017482301377221805,-11.326527031727998,1.0,97,97,4.164948453608248,1.0,1,12280,12238,42,11.87236328125
1.45,2,1.333333372807931,0.009783360815682292,0.0,1.0,97,97,4.22680412371134,1.0,1,14169,14214,-45,11.83984375
1.45,3,1.333333372807931,0.01580007402956753,-10.482397712775366,1.0,97,97,4.206185567010309,1.0,1,13960,13917,43,11.83984375
1.45,4,1.333333372807931,0.015466309223099816,-0.9506337657434959,1.0,99,98,4.161616161616162,1.0,1,10554,10518,36,11.8913330078125
2.0,0,2.0,0.011521851939771708,-3.1320426017028224,1.0,99,98,4.202020202020202,1.0,1,33894,33909,-15,11.3412109375
2.0,1,2.0,0.017658890280028438,-12.396689392233215,1.0,98,97,4.122448979591836,1.0,1,31409,31365,44,11.422509765625
2.0,2,2.0,0.017076411605541696,-9.899897285947304,1.0,101,97,4.099009900990099,1.0,1,37339,37302,37,11.276171875
2.0,3,2.0,0.00923150392737431,-10.756419285316662,1.0,97,97,4.164948453608248,1.0,1,35799,35830,-31,11.3114013671875
2.0,4,2.0,0.011943427677833978,-9.39608906331594,1.0,98,98,4.163265306122449,1.0,1,27661,27666,-5,11.4712890625
