mode,target_ratio,seed,base_n_attempts,base_p10_vox,base_p50_vox,base_ratio,intended_T_vox,iters,achieved_ratio,r_base_vox,r_final_vox,voxels_base,voxels_added_by_necks,voxels_removed_by_shrink,voxels_final,voxels_net_residual,phi_Ni_base,phi_Ni_final,P_span,percolates,n_clusters,n_peaks,ws_n_regions_used,ws_d_volweighted_nm,d_cPSD_r50max_nm,neck_p10_nm,neck_p50_nm,n_nodes,n_edges,mean_degree,n_deg0,n_deg1
base,1.0,0,1,5.0,15.0,3.0,,0,1.0,12.1,12.0972900390625,1137116,0,146,1136970,-146,0.25024207405529497,0.2502099442261377,1.0,True,1,141,104,574.4133176075525,414.1872778650552,119.9999957179898,319.9999980552093,98,206,4.204081632653061,0,14
base,1.0,1,1,5.0,15.0,3.0,,0,1.0,12.1,12.0972900390625,1132730,0,156,1132574,-156,0.24927685877663694,0.24924252827424967,1.0,True,1,144,109,570.3818106336668,452.4631126323945,119.9999957179898,319.9999980552093,97,204,4.206185567010309,0,14
base,1.0,2,1,5.0,15.0,3.0,,0,1.0,12.1,12.0972900390625,1124513,0,155,1124358,-155,0.24746856558358332,0.24743445514851903,1.0,True,1,145,109,563.8786473748825,439.92476590496153,119.9999957179898,319.9999980552093,97,203,4.185567010309279,0,14
base,1.0,3,1,5.0,15.0,3.0,,0,1.0,12.1,12.0972900390625,1126712,0,135,1126577,-135,0.24795249362685032,0.24792278453824593,1.0,True,1,139,101,575.4833908737556,444.1469770382158,119.9999957179898,319.9999980552093,97,203,4.185567010309279,0,14
base,1.0,4,1,6.0,15.0,2.5,,0,1.0,12.1,12.0972900390625,1163964,0,144,1163820,-144,0.25615044154307687,0.25611875184856553,1.0,True,1,139,102,581.4441939862451,444.1469770382158,119.9999957179898,319.9999980552093,98,205,4.183673469387755,0,14
lower_tail,1.45,0,1,5.0,15.0,3.0,8.499999812662054,5,1.333333372807931,12.1,11.858813476562501,1137116,12864,12848,1137132,16,0.25024207405529497,0.2502455951324629,1.0,True,1,150,112,566.953675753645,414.1872778650552,159.99999902760464,319.9999980552093,98,207,4.224489795918367,0,13
lower_tail,1.45,1,1,5.0,15.0,3.0,8.499999812662054,5,1.333333372807931,12.1,11.87236328125,1132730,12280,12238,1132772,42,0.24927685877663694,0.24928610160420275,1.0,True,1,150,114,565.4936679743108,401.21475587148836,159.99999902760464,319.9999980552093,97,202,4.164948453608248,0,14
lower_tail,1.45,2,1,5.0,15.0,3.0,8.499999812662054,5,1.333333372807931,12.1,11.83984375,1124513,14169,14214,1124468,-45,0.24746856558358332,0.24745866255404853,1.0,True,1,150,112,560.5491797950971,439.92476590496153,159.99999902760464,319.9999980552093,97,205,4.22680412371134,0,14
lower_tail,1.45,3,1,5.0,15.0,3.0,8.499999812662054,5,1.333333372807931,12.1,11.83984375,1126712,13960,13917,1126755,43,0.24795249362685032,0.24796195652173914,1.0,True,1,145,106,569.9826079664402,397.58972447580095,159.99999902760464,319.9999980552093,97,204,4.206185567010309,0,14
lower_tail,1.45,4,1,6.0,15.0,2.5,8.499999812662054,5,1.333333372807931,12.1,11.8913330078125,1163964,10554,10518,1164000,36,0.25615044154307687,0.2561583639667047,1.0,True,1,145,107,575.7068432664455,439.92476590496153,159.99999902760464,319.9999980552093,99,206,4.161616161616162,0,14
lower_tail,2.0,0,1,5.0,15.0,3.0,10.999999839424618,2,2.0,12.1,11.341210937500001,1137116,33894,33909,1137101,-15,0.25024207405529497,0.25023877304545006,1.0,True,1,160,123,556.8012814324799,401.21475587148836,239.9999914359796,319.9999980552093,99,208,4.202020202020202,0,15
lower_tail,2.0,1,1,5.0,15.0,3.0,10.999999839424618,2,2.0,12.1,11.422509765625001,1132730,31409,31365,1132774,44,0.24927685877663694,0.24928654173884876,1.0,True,1,161,124,553.5302844970361,396.3726659449262,239.9999914359796,319.9999980552093,98,202,4.122448979591836,0,16
lower_tail,2.0,2,1,5.0,15.0,3.0,10.999999839424618,2,2.0,12.1,11.276171875,1124513,37339,37302,1124550,37,0.24746856558358332,0.24747670807453417,1.0,True,1,176,139,534.9300665425674,396.3726659449262,239.9999914359796,319.9999980552093,101,207,4.099009900990099,0,15
lower_tail,2.0,3,1,5.0,15.0,3.0,10.999999839424618,2,2.0,12.1,11.3114013671875,1126712,35799,35830,1126681,-31,0.24795249362685032,0.24794567153983746,1.0,True,1,160,122,560.1639720717874,396.3726659449262,239.9999914359796,319.9999980552093,97,202,4.164948453608248,0,16
lower_tail,2.0,4,1,6.0,15.0,2.5,10.999999839424618,2,2.0,12.1,11.471289062499999,1163964,27661,27666,1163959,-5,0.25615044154307687,0.2561493412064619,1.0,True,1,160,120,562.0964635011901,402.41453150367965,239.9999914359796,319.9999980552093,98,204,4.163265306122449,0,16
