sample,grain,roi,nvox,cpsd_nonzero_frac,cpsd_r25_nm,cpsd_r50_nm,cpsd_r75_nm,d_cPSD_r50max_nm
medium_pre,medium,z0y0x0,34426880,1.0,462.4338855050109,622.3931230738378,749.3750768312327,1244.7862461476757
medium_pre,medium,z0y0x1,34426880,1.0,357.5569532592837,479.42730672991075,619.6951721226816,958.8546134598215
medium_pre,medium,z0y1x0,34426880,1.0,369.21708662434975,491.01897514562063,630.1409442104444,982.0379502912413
medium_pre,medium,z0y1x1,34426880,1.0,418.9712914207699,542.1354640932743,676.148815097044,1084.2709281865486
medium_pre,medium,z0y2x0,34426880,1.0,369.62770466368505,499.4745099045927,650.0077604045805,998.9490198091854
medium_pre,medium,z0y2x1,34426880,1.0,425.5358863765569,549.5798080491804,659.7570465435933,1099.1596160983609
coarse_pre,coarse,z0y0x0,20191875,1.0,523.6943076920423,726.9858367557105,841.0778872582998,1453.971673511421
coarse_pre,coarse,z0y0x1,20191875,1.0,435.88539933754157,597.3159862073245,736.9284934483219,1194.631972414649
coarse_pre,coarse,z0y1x0,20191875,1.0,432.7677056481256,595.0012868071314,762.1770025339628,1190.0025736142627
coarse_pre,coarse,z0y1x1,20191875,1.0,445.06199099215036,642.4542119806367,893.9674119209717,1284.9084239612735
coarse_pre,coarse,z0y2x0,20191875,1.0,456.7980210740414,640.5644036685702,802.5187586325327,1281.1288073371404
coarse_pre,coarse,z0y2x1,20191875,1.0,484.0858843104412,671.5498749454347,776.709562302985,1343.0997498908694
coarse_pre,coarse,z0y3x0,20191875,1.0,439.7212342201977,580.2787285248248,714.4651671157852,1160.5574570496497
coarse_pre,coarse,z0y3x1,20191875,1.0,451.0298262209223,620.5414538896703,795.3238276162787,1241.0829077793405
coarse_pre,coarse,z0y4x0,20191875,1.0,483.9842028282523,628.5455458078919,729.7886031213974,1257.0910916157839
coarse_pre,coarse,z0y4x1,20191875,1.0,447.4524881961821,617.6268319436655,738.7413226170938,1235.253663887331
