analog,frac_removed,n_removed,lowarea_graph_spans,lowarea_voxel_Pspan,random_graph_span_rate,random_voxel_Pspan
fine,0.02,14,True,0.9985202348486402,1.0,1.0
fine,0.05,36,True,0.9985195425511849,1.0,1.0
fine,0.1,73,True,0.9970349277299285,1.0,0.9984701326433172
fine,0.15,109,True,0.9970305406438322,1.0,0.9968928254522171
fine,0.2,146,True,0.992559561275615,1.0,0.9953199157716858
fine,0.25,183,True,0.9925069482021113,1.0,0.9952133919542056
fine,0.35,256,True,0.9834453910044052,1.0,0.9822286796538834
fine,0.5,366,True,0.9675892308382359,1.0,0.965393455953585
medium,0.02,8,True,1.0,1.0,0.9951628431644209
medium,0.05,21,True,0.9975865612081531,1.0,0.9975511146618397
medium,0.1,43,True,0.9951665690246947,1.0,0.9949855572609322
medium,0.15,64,True,0.9903253096951493,1.0,0.9974898145503868
medium,0.2,86,True,0.9903038818954073,1.0,0.9921828802957141
medium,0.25,107,True,0.9902121478265896,1.0,0.979110300716421
medium,0.35,150,True,0.9852905340058434,1.0,0.9704242268706222
medium,0.5,215,True,0.9404631013654303,1.0,0.8963506588553193
coarse,0.02,4,True,0.9958681556072834,1.0,1.0
coarse,0.05,11,True,0.995865300747379,1.0,0.9916081866878135
coarse,0.1,22,True,0.9917220017343725,1.0,0.9957108099651117
coarse,0.15,33,True,0.9875614756347908,1.0,0.9824437865784694
coarse,0.2,44,True,0.9875409425972073,1.0,0.9863355965433241
coarse,0.25,56,True,0.9874229151447416,1.0,0.9725638707187797
coarse,0.35,78,True,0.965696210437266,1.0,0.9663094085576347
coarse,0.5,112,True,0.9099966619414926,1.0,0.8849288620300024
