anode,n_rounds,pristine_P_span,R_Ni_0,R_Ni,vol_loss,tpb_um2,tpb_pristine,seconds
fine,1,0.9821353349727162,0.9821353349727162,0.9505108741236789,0.04948912587632115,66.26399977556117,4.477372482319921,4.2
fine,3,0.9821353349727162,0.9821353349727162,0.8691698057948004,0.1308301942051996,54.476687795941814,4.477372482319921,6.1
fine,5,0.9821353349727162,0.9821353349727162,0.754034957271279,0.245965042728721,15.60788291338211,4.477372482319921,7.6
fine,8,0.9821353349727162,0.9821353349727162,0.6086196710664453,0.3913803289335547,0.45566231074087704,4.477372482319921,10.1
medium,1,0.9712538884722318,0.9712538884722318,0.9467048534735857,0.053295146526414316,22.902192209547184,1.8659545713437244,1.9
medium,3,0.9712538884722318,0.9712538884722318,0.8866622824897569,0.11333771751024313,18.874779886049108,1.8659545713437244,2.8
medium,5,0.9712538884722318,0.9712538884722318,0.8126390728133821,0.1873609271866179,5.560248111862717,1.8659545713437244,3.7
medium,8,0.9712538884722318,0.9712538884722318,0.69883599231759,0.30116400768241003,0.17517163713907943,1.8659545713437244,4.8
coarse,1,0.887774559307609,0.887774559307609,0.8631968417119426,0.13680315828805745,11.313007914989468,1.5364543295374684,3.9
coarse,3,0.887774559307609,0.887774559307609,0.7965498439864801,0.2034501560135199,9.01297058941999,1.5364543295374684,5.8
coarse,5,0.887774559307609,0.887774559307609,0.7211806036886617,0.27881939631133834,2.6448115665484146,1.5364543295374684,7.7
coarse,8,0.887774559307609,0.887774559307609,0.5764896703076738,0.42351032969232616,0.07367727032514865,1.5364543295374684,9.8
