anode,n_cycles,n_throats,n_broken,frac_broken,pristine_P_span,P_span,P_largest,n_clusters,retention,real_retention,broken_diam_median,all_diam_median,pristine_Q
fine,1,2401,0,0.0,0.9992506947951086,0.9992506947951086,0.9992506947951086,66,1.0,0.958,,258.1719513727876,0.0007493052048913595
fine,2,2401,0,0.0,0.9992506947951086,0.9992506947951086,0.9992506947951086,66,1.0,0.958,,258.1719513727876,0.0007493052048913595
fine,4,2401,0,0.0,0.9992506947951086,0.9992506947951086,0.9992506947951086,66,1.0,0.958,,258.1719513727876,0.0007493052048913595
fine,8,2401,2,0.0008329862557267805,0.9992506947951086,0.9991817447314184,0.9991817447314184,69,0.9999309982329265,0.958,67.90467921291565,258.1719513727876,0.0007493052048913595
fine,12,2401,4,0.001665972511453561,0.9992506947951086,0.9991763547336937,0.9991763547336937,70,0.99992560419342,0.958,92.23720454087925,258.1719513727876,0.0007493052048913595
fine,20,2401,25,0.010412328196584756,0.9992506947951086,0.9987915583333277,0.9987915583333277,88,0.9995405192468991,0.958,88.03590390016325,258.1719513727876,0.0007493052048913595
medium,1,506,0,0.0,0.9708516946342514,0.9708516946342514,0.9708516946342514,110,1.0,0.865,,295.2612589979253,0.02914830536574864
medium,2,506,0,0.0,0.9708516946342514,0.9708516946342514,0.9708516946342514,110,1.0,0.865,,295.2612589979253,0.02914830536574864
medium,4,506,0,0.0,0.9708516946342514,0.9708516946342514,0.9708516946342514,110,1.0,0.865,,295.2612589979253,0.02914830536574864
medium,8,506,0,0.0,0.9708516946342514,0.9708516946342514,0.9708516946342514,110,1.0,0.865,,295.2612589979253,0.02914830536574864
medium,12,506,0,0.0,0.9708516946342514,0.9708516946342514,0.9708516946342514,110,1.0,0.865,,295.2612589979253,0.02914830536574864
medium,20,506,6,0.011857707509881422,0.9708516946342514,0.9704314821077807,0.9704314821077807,113,0.9995671712489219,0.865,49.21020746451177,295.2612589979253,0.02914830536574864
