analog,seed,p_sinter,lattice,a_ysz_vox,w_ysz_vox,ysz_jitter,n_grains,n_candidate_contacts,n_sintered,mean_coord_sintered,r_ysz_vox,grain_d_nm,gap_vox,solve_iters,phi_ysz,phi_ysz_target,phi_ysz_rel_dev,phi_ni,P_span,P_reach,P_largest,Q_ysz,n_clusters,percolates,edt_mean_nm,edt_p50_nm,filt_n,filt_volfrac,filt_threshold_vox,domain_vox,seconds
fine,0,0.0,FCC,40.0,8.0,0.02,792,3494,0,0.0,13.342749736987525,533.709989479501,1.598771773486849,12,0.42098948060486524,0.421,2.498668678086667e-05,0.3206914310760465,0.0,0.17886403172000329,0.004323325394656359,1.0,738,False,58.38747870117532,44.721359549995796,449,0.9940004424836346,995.0035496872086,5475600,4.5
fine,0,0.15,FCC,40.0,8.0,0.02,792,3494,541,1.3661616161616161,13.304288818565334,532.1715527426134,1.6756936103312299,12,0.42109248301555996,0.421,0.00021967462128259928,0.3206914310760465,0.0,0.5555779634597919,0.10048340354958551,1.0,475,False,58.31799647260925,44.721359549995796,209,0.8980719371792236,986.4239361540194,5475600,7.0
fine,0,0.25,FCC,40.0,8.0,0.02,792,3494,889,2.244949494949495,13.275443129748693,531.0177251899477,1.733384987964513,11,0.42107823800131494,0.421,0.00018583848293338812,0.3206914310760465,0.7514915494765915,0.8397861606414834,0.7514915494765915,0.24850845052340853,348,True,58.244541945715554,44.721359549995796,85,0.2474866155228707,980.0216931979085,5475600,7.8
fine,0,0.35,FCC,40.0,8.0,0.02,792,3494,1236,3.121212121212121,13.249802517467234,529.9921006986893,1.78466621252743,11,0.42099915990941633,0.421,1.9954645692485532e-06,0.3206914310760465,0.8966585879110177,0.9231093911521792,0.8966585879110177,0.10334141208898229,305,True,58.18517229241525,44.721359549995796,49,0.10237924920929559,974.3541188143354,5475600,9.9
fine,0,0.5,FCC,40.0,8.0,0.02,792,3494,1719,4.340909090909091,13.20493144597468,528.1972578389872,1.8744083555125393,7,0.42096665205639566,0.421,7.921126746869999e-05,0.3206914310760465,0.9614810123012782,0.9689541852762094,0.9614810123012782,0.03851898769872175,260,True,58.07153205537627,44.721359549995796,18,0.03766390677839261,964.4885182816452,5475600,12.7
fine,0,1.0,FCC,40.0,8.0,0.02,792,3494,3494,8.823232323232324,12.999806547723004,519.9922619089202,2.28465815201589,7,0.42093870991306886,0.421,0.00014558215423069023,0.3206914310760465,0.999232068140286,0.999776128339202,0.999232068140286,0.0007679318597140217,236,True,57.31259017405088,44.721359549995796,0,0.0,920.2361248210817,5475600,7.4
medium,0,0.0,FCC,46.0,10.0,0.02,665,2920,0,0.0,14.393407874936825,575.736314997473,3.740096184707536,11,0.3879476898119098,0.388,0.00013482007239744827,0.2499507200685634,0.0,0.10154132981759753,0.0049331548639802375,1.0,579,False,66.97910595134077,56.568542494923804,353,0.9911980366793182,1249.0490880267876,6534100,2.0
medium,0,0.15,FCC,46.0,10.0,0.02,665,2920,446,1.3413533834586466,14.270566724332902,570.822668973316,3.9857784859153824,12,0.38803278186743395,0.388,8.448934905654571e-05,0.2499507200685634,0.0,0.4662155952899787,0.13576512209888206,1.0,364,False,66.38017770405828,56.568542494923804,156,0.8627593972655687,1217.3410604155536,6534100,2.7
medium,0,0.25,FCC,46.0,10.0,0.02,665,2920,731,2.1984962406015036,14.184950164821078,567.3980065928431,4.157011604939029,11,0.3880750218086653,0.388,0.00019335517697244802,0.2499507200685634,0.8031258170753013,0.8540198231587781,0.8031258170753013,0.19687418292469872,276,True,65.98150462363172,48.98979485566356,66,0.1955392568819677,1195.5618609311116,6534100,3.2
medium,0,0.35,FCC,46.0,10.0,0.02,665,2920,1029,3.094736842105263,14.091888687090833,563.6755474836333,4.34313456039952,12,0.38802604796375934,0.388,6.713392721475157e-05,0.2499507200685634,0.9411079351944722,0.963967435525978,0.9411079351944722,0.05889206480552778,234,True,65.52036880530935,48.98979485566356,23,0.057710003269699744,1172.1851665655722,6534100,3.9
medium,0,0.5,FCC,46.0,10.0,0.02,665,2920,1444,4.3428571428571425,13.94671278183165,557.868511273266,4.633486370917886,11,0.38804135229029246,0.388,0.00010657806776404959,0.2499507200685634,0.9851232557194811,0.997640308562292,0.9851232557194811,0.014876744280518883,203,True,64.75654084747708,48.98979485566356,6,0.014227168516202518,1136.3292365143723,6534100,4.6
medium,0,1.0,FCC,46.0,10.0,0.02,665,2920,2920,8.781954887218046,13.150106532460756,526.0042612984303,6.226698869659675,6,0.388071195727032,0.388,0.00018349414183508773,0.2499507200685634,0.9998734075378121,0.9998769568591819,0.9998734075378121,0.00012659246218793552,167,True,60.377503855686356,48.98979485566356,0,0.0,952.5250873349968,6534100,7.7
coarse,0,0.0,FCC,53.0,11.0,0.02,500,2136,0,0.0,16.40946886380499,656.3787545521996,4.657721675277038,11,0.383972898414072,0.384,7.057704668750563e-05,0.22871855843373043,0.0,0.11267533960598866,0.007544447592713819,1.0,385,False,75.7193639500415,60.0,247,0.9882953586910147,1850.8540851566058,6397264,2.0
coarse,0,0.15,FCC,53.0,11.0,0.02,500,2136,328,1.312,16.28833884466222,651.5335537864888,4.899981713562575,11,0.3840074444324949,0.384,1.9386542955459236e-05,0.22871855843373043,0.2095769065907025,0.48084687883279187,0.2095769065907025,0.7904230934092975,254,True,75.0852501042426,60.0,130,0.7881992854342816,1810.1684672486751,6397264,2.5
coarse,0,0.25,FCC,53.0,11.0,0.02,500,2136,526,2.104,16.206143474529625,648.245738981185,5.064372453827765,12,0.3839966585715393,0.384,8.7016366164099e-06,0.22871855843373043,0.690601124839611,0.8205406166752425,0.690601124839611,0.309398875160389,187,True,74.64719712298431,60.0,69,0.3075792337803599,1782.902720324014,6397264,2.8
coarse,0,0.35,FCC,53.0,11.0,0.02,500,2136,722,2.888,16.115295960172553,644.611838406902,5.2460674825419105,11,0.38392178281215217,0.384,0.0002036905933537498,0.22871855843373043,0.854365690586792,0.9375472557754344,0.854365690586792,0.14563430941320799,156,True,74.18396328828227,60.0,38,0.14414492544733432,1753.0869898893511,6397264,3.3
coarse,0,0.5,FCC,53.0,11.0,0.02,500,2136,1035,4.14,15.9336009314584,637.344037258336,5.609457539970215,10,0.383905838495957,0.384,0.00024521225011200795,0.22871855843373043,0.9673140340569238,0.9731411142015687,0.9673140340569238,0.032685965943076156,124,True,73.1385764820317,60.0,9,0.03180076768757632,1694.4564703945098,6397264,4.8
