operator,stencil,n_rounds,volume_error,S_spec,neck_voxels,acceptance_rate,proposed,accepted,source,neck_metric
curvature_ranked,6,0,0.0,0.45052,63,,,,o5v2_report.md,original_unrecoverable
curvature_ranked,6,1,0.0,0.45195,63,,,,o5v2_report.md,original_unrecoverable
curvature_ranked,6,3,0.0,0.45219,63,,,,o5v2_report.md,original_unrecoverable
curvature_ranked,6,5,0.0,0.45362,63,,,,o5v2_report.md,original_unrecoverable
curvature_ranked,26,0,0.0,0.45052,63,,,,o5v2_report.md,original_unrecoverable
curvature_ranked,26,1,0.0,0.45195,57,,,,o5v2_report.md,original_unrecoverable
curvature_ranked,26,3,0.0,0.44431,15,,,,o5v2_report.md,original_unrecoverable
curvature_ranked,26,5,0.0,0.44216,0,,,,o5v2_report.md,original_unrecoverable
greedy_area,6,0,0.0,0.45052,99,,0,0,o5v2_regenerate.py,free_span_3x3_column
greedy_area,6,1,0.0,0.46365,99,0.9672131147540983,61,59,o5v2_regenerate.py,free_span_3x3_column
greedy_area,6,3,0.0,0.46246,99,0.9617486338797814,183,176,o5v2_regenerate.py,free_span_3x3_column
greedy_area,6,5,0.0,0.46461,99,0.9639344262295082,305,294,o5v2_regenerate.py,free_span_3x3_column
greedy_area,6,8,0.0,0.46317,99,0.9651639344262295,488,471,o5v2_regenerate.py,free_span_3x3_column
