anode,roi,seed,n_rounds,r_ni
fine,0,300,1,0.9505108741236789
fine,0,300,2,0.9112693194014979
fine,0,300,3,0.8691698057948004
fine,0,300,4,0.8019328763455835
fine,0,300,5,0.754034957271279
fine,0,300,6,0.7075416579179714
fine,0,300,7,0.6578104252899925
fine,0,300,8,0.6086196710664453
fine,0,300,9,0.5649684944499892
fine,0,300,10,0.5211420955173083
fine,0,300,11,0.0
fine,0,300,12,0.0
fine,0,300,13,0.0
fine,0,300,14,0.0
fine,0,300,15,0.0
fine,0,300,16,0.0
fine,0,300,17,0.0
fine,0,300,18,0.0
fine,0,300,19,0.0
fine,0,300,20,0.0
fine,0,301,1,0.9489042969430459
fine,0,301,2,0.8891199983157791
fine,0,301,3,0.848216533049947
fine,0,301,4,0.801792074362078
fine,0,301,5,0.7553541549486936
fine,0,301,6,0.704053140894951
fine,0,301,7,0.6587811345649633
fine,0,301,8,0.6085005273437173
fine,0,301,9,0.5639420326198559
fine,0,301,10,0.0
fine,0,301,11,0.0
fine,0,301,12,0.0
fine,0,301,13,0.0
fine,0,301,14,0.0
fine,0,301,15,0.0
fine,0,301,16,0.0
fine,0,301,17,0.0
fine,0,301,18,0.0
fine,0,301,19,0.0
fine,0,301,20,0.0
fine,0,302,1,0.9504765003678644
fine,0,302,2,0.9143895994143979
fine,0,302,3,0.8465289120547923
fine,0,302,4,0.8014890915957191
fine,0,302,5,0.7557676181334697
fine,0,302,6,0.7056624661129729
fine,0,302,7,0.6578898854897478
fine,0,302,8,0.613392546242017
fine,0,302,9,0.5653179143905309
fine,0,302,10,0.0
fine,0,302,11,0.0
fine,0,302,12,0.0
fine,0,302,13,0.0
fine,0,302,14,0.0
fine,0,302,15,0.0
fine,0,302,16,0.0
fine,0,302,17,0.0
fine,0,302,18,0.0
fine,0,302,19,0.0
fine,0,302,20,0.0
fine,1,300,1,0.943077058756111
fine,1,300,2,0.9074363274964933
fine,1,300,3,0.8660880660484551
fine,1,300,4,0.8199385405101134
fine,1,300,5,0.7650244468077084
fine,1,300,6,0.7097590445384798
fine,1,300,7,0.66348400128658
fine,1,300,8,0.6161745416417472
fine,1,300,9,0.5688972370965675
fine,1,300,10,0.0
fine,1,300,11,0.0
fine,1,300,12,0.0
fine,1,300,13,0.0
fine,1,300,14,0.0
fine,1,300,15,0.0
fine,1,300,16,0.0
fine,1,300,17,0.0
fine,1,300,18,0.0
fine,1,300,19,0.0
fine,1,300,20,0.0
fine,1,301,1,0.9442117482887517
fine,1,301,2,0.9073336568274255
fine,1,301,3,0.8613311327461235
fine,1,301,4,0.8161509142249553
fine,1,301,5,0.7611118199231681
fine,1,301,6,0.7077886984978962
fine,1,301,7,0.6631277566298973
fine,1,301,8,0.6186051192987104
fine,1,301,9,0.5687907115763718
fine,1,301,10,0.5290722059686447
fine,1,301,11,0.0
fine,1,301,12,0.0
fine,1,301,13,0.0
fine,1,301,14,0.0
fine,1,301,15,0.0
fine,1,301,16,0.0
fine,1,301,17,0.0
fine,1,301,18,0.0
fine,1,301,19,0.0
fine,1,301,20,0.0
fine,1,302,1,0.9443870029839369
fine,1,302,2,0.9074123051925127
fine,1,302,3,0.8632372626081604
fine,1,302,4,0.8188073767559435
fine,1,302,5,0.7710230652666725
fine,1,302,6,0.7082512336228766
fine,1,302,7,0.6632222004825333
fine,1,302,8,0.6104160051914502
fine,1,302,9,0.5687266834393433
fine,1,302,10,0.0
fine,1,302,11,0.0
fine,1,302,12,0.0
fine,1,302,13,0.0
fine,1,302,14,0.0
fine,1,302,15,0.0
fine,1,302,16,0.0
fine,1,302,17,0.0
fine,1,302,18,0.0
fine,1,302,19,0.0
fine,1,302,20,0.0
fine,2,300,1,0.9513966196645042
fine,2,300,2,0.9130781129384001
fine,2,300,3,0.8685210292775916
fine,2,300,4,0.8190110964178396
fine,2,300,5,0.7673708373757391
fine,2,300,6,0.7149476178724871
fine,2,300,7,0.6643440058865405
fine,2,300,8,0.6056948079818708
fine,2,300,9,0.5577120521678621
fine,2,300,10,0.0
fine,2,300,11,0.0
fine,2,300,12,0.0
fine,2,300,13,0.0
fine,2,300,14,0.0
fine,2,300,15,0.0
fine,2,300,16,0.0
fine,2,300,17,0.0
fine,2,300,18,0.0
fine,2,300,19,0.0
fine,2,300,20,0.0
fine,2,301,1,0.9515783275424483
fine,2,301,2,0.9129627392733536
fine,2,301,3,0.868502966864277
fine,2,301,4,0.8197062283942492
fine,2,301,5,0.7662418913875478
fine,2,301,6,0.7035900626923788
fine,2,301,7,0.6540256716564836
fine,2,301,8,0.6049968311753642
fine,2,301,9,0.5579974382982317
fine,2,301,10,0.0
fine,2,301,11,0.0
fine,2,301,12,0.0
fine,2,301,13,0.0
fine,2,301,14,0.0
fine,2,301,15,0.0
fine,2,301,16,0.0
fine,2,301,17,0.0
fine,2,301,18,0.0
fine,2,301,19,0.0
fine,2,301,20,0.0
fine,2,302,1,0.9515483439363462
fine,2,302,2,0.9132289792456098
fine,2,302,3,0.868560224714484
fine,2,302,4,0.8197908056445945
fine,2,302,5,0.7675251806975117
fine,2,302,6,0.7148783485174258
fine,2,302,7,0.6643368712332812
fine,2,302,8,0.6150003826973821
fine,2,302,9,0.5580277379965668
fine,2,302,10,0.0
fine,2,302,11,0.0
fine,2,302,12,0.0
fine,2,302,13,0.0
fine,2,302,14,0.0
fine,2,302,15,0.0
fine,2,302,16,0.0
fine,2,302,17,0.0
fine,2,302,18,0.0
fine,2,302,19,0.0
fine,2,302,20,0.0
medium,0,300,1,0.9467048534735857
medium,0,300,2,0.9188570367539949
medium,0,300,3,0.8866622824897569
medium,0,300,4,0.850153893128766
medium,0,300,5,0.8126390728133821
medium,0,300,6,0.7746010942758417
medium,0,300,7,0.7365452059916138
medium,0,300,8,0.69883599231759
medium,0,300,9,0.6618200310545327
medium,0,300,10,0.0
medium,0,300,11,0.0
medium,0,300,12,0.0
medium,0,300,13,0.0
medium,0,300,14,0.0
medium,0,300,15,0.0
medium,0,300,16,0.0
medium,0,300,17,0.0
medium,0,300,18,0.0
medium,0,300,19,0.0
medium,0,300,20,0.0
medium,0,301,1,0.9467695221805436
medium,0,301,2,0.9189614941414315
medium,0,301,3,0.8868500928063712
medium,0,301,4,0.8504974698368403
medium,0,301,5,0.8128442120200345
medium,0,301,6,0.7748296613673501
medium,0,301,7,0.7367848093594593
medium,0,301,8,0.6990895362450192
medium,0,301,9,0.6620881932076366
medium,0,301,10,0.0
medium,0,301,11,0.0
medium,0,301,12,0.0
medium,0,301,13,0.0
medium,0,301,14,0.0
medium,0,301,15,0.0
medium,0,301,16,0.0
medium,0,301,17,0.0
medium,0,301,18,0.0
medium,0,301,19,0.0
medium,0,301,20,0.0
medium,0,302,1,0.9468264461321773
medium,0,302,2,0.9189902465455729
medium,0,302,3,0.8867762272024656
medium,0,302,4,0.8511421239081468
medium,0,302,5,0.8131531309480325
medium,0,302,6,0.7749064312545022
medium,0,302,7,0.7367864551199658
medium,0,302,8,0.6991331004937185
medium,0,302,9,0.6621839377453332
medium,0,302,10,0.0
medium,0,302,11,0.0
medium,0,302,12,0.0
medium,0,302,13,0.0
medium,0,302,14,0.0
medium,0,302,15,0.0
medium,0,302,16,0.0
medium,0,302,17,0.0
medium,0,302,18,0.0
medium,0,302,19,0.0
medium,0,302,20,0.0
medium,1,300,1,0.9140350632676396
medium,1,300,2,0.8794964010728488
medium,1,300,3,0.839238257284127
medium,1,300,4,0.7946629619078467
medium,1,300,5,0.7481945154479858
medium,1,300,6,0.7008727628309516
medium,1,300,7,0.6497624780554923
medium,1,300,8,0.5579244133311108
medium,1,300,9,0.5094757346288096
medium,1,300,10,0.0
medium,1,300,11,0.0
medium,1,300,12,0.0
medium,1,300,13,0.0
medium,1,300,14,0.0
medium,1,300,15,0.0
medium,1,300,16,0.0
medium,1,300,17,0.0
medium,1,300,18,0.0
medium,1,300,19,0.0
medium,1,300,20,0.0
medium,1,301,1,0.9139810974790507
medium,1,301,2,0.879332942713197
medium,1,301,3,0.8389724423254572
medium,1,301,4,0.7945181239752493
medium,1,301,5,0.7478198769156322
medium,1,301,6,0.7010783680254933
medium,1,301,7,0.6473593279698326
medium,1,301,8,0.5669191945940552
medium,1,301,9,0.5088978323927416
medium,1,301,10,0.0
medium,1,301,11,0.0
medium,1,301,12,0.0
medium,1,301,13,0.0
medium,1,301,14,0.0
medium,1,301,15,0.0
medium,1,301,16,0.0
medium,1,301,17,0.0
medium,1,301,18,0.0
medium,1,301,19,0.0
medium,1,301,20,0.0
medium,1,302,1,0.9139431876275624
medium,1,302,2,0.8793066288162816
medium,1,302,3,0.8389134590565241
medium,1,302,4,0.7942393750672482
medium,1,302,5,0.7478546647793507
medium,1,302,6,0.7011276508324279
medium,1,302,7,0.6545232864050256
medium,1,302,8,0.5783864786709698
medium,1,302,9,0.5091107965584545
medium,1,302,10,0.43551038088808286
medium,1,302,11,0.0
medium,1,302,12,0.0
medium,1,302,13,0.0
medium,1,302,14,0.0
medium,1,302,15,0.0
medium,1,302,16,0.0
medium,1,302,17,0.0
medium,1,302,18,0.0
medium,1,302,19,0.0
medium,1,302,20,0.0
medium,2,300,1,0.9237050598197497
medium,2,300,2,0.8880872753691723
medium,2,300,3,0.8466186936001501
medium,2,300,4,0.8008048054123426
medium,2,300,5,0.753097997553842
medium,2,300,6,0.7051706916488046
medium,2,300,7,0.6564908271566889
medium,2,300,8,0.3535868055962155
medium,2,300,9,0.0
medium,2,300,10,0.0
medium,2,300,11,0.0
medium,2,300,12,0.0
medium,2,300,13,0.0
medium,2,300,14,0.0
medium,2,300,15,0.0
medium,2,300,16,0.0
medium,2,300,17,0.0
