anode,roi,seed,threshold,transition,flag
coarse,0,300,0.8,2.5,ok
coarse,0,300,0.7,5.5,ok
coarse,0,300,0.68,6.5,ok
coarse,0,300,0.6,7.5,ok
coarse,0,300,0.5,9.5,ok
coarse,0,300,0.4,9.5,ok
coarse,0,300,0.3,9.5,ok
coarse,0,300,0.2,9.5,ok
coarse,0,300,0.1,9.5,ok
coarse,0,301,0.8,2.5,ok
coarse,0,301,0.7,4.5,ok
coarse,0,301,0.68,5.5,ok
coarse,0,301,0.6,7.5,ok
coarse,0,301,0.5,9.5,ok
coarse,0,301,0.4,9.5,ok
coarse,0,301,0.3,9.5,ok
coarse,0,301,0.2,9.5,ok
coarse,0,301,0.1,9.5,ok
coarse,0,302,0.8,2.5,ok
coarse,0,302,0.7,5.5,ok
coarse,0,302,0.68,5.5,ok
coarse,0,302,0.6,7.5,ok
coarse,0,302,0.5,9.5,ok
coarse,0,302,0.4,9.5,ok
coarse,0,302,0.3,9.5,ok
coarse,0,302,0.2,9.5,ok
coarse,0,302,0.1,9.5,ok
coarse,1,300,0.8,2.5,ok
coarse,1,300,0.7,5.5,ok
coarse,1,300,0.68,6.5,ok
coarse,1,300,0.6,8.5,ok
coarse,1,300,0.5,9.5,ok
coarse,1,300,0.4,9.5,ok
coarse,1,300,0.3,9.5,ok
coarse,1,300,0.2,9.5,ok
coarse,1,300,0.1,9.5,ok
coarse,1,301,0.8,2.5,ok
coarse,1,301,0.7,5.5,ok
coarse,1,301,0.68,6.5,ok
coarse,1,301,0.6,8.5,ok
coarse,1,301,0.5,9.5,ok
coarse,1,301,0.4,9.5,ok
coarse,1,301,0.3,9.5,ok
coarse,1,301,0.2,9.5,ok
coarse,1,301,0.1,9.5,ok
coarse,1,302,0.8,2.5,ok
coarse,1,302,0.7,5.5,ok
coarse,1,302,0.68,6.5,ok
coarse,1,302,0.6,8.5,ok
coarse,1,302,0.5,9.5,ok
coarse,1,302,0.4,9.5,ok
coarse,1,302,0.3,9.5,ok
coarse,1,302,0.2,9.5,ok
coarse,1,302,0.1,9.5,ok
coarse,2,300,0.8,3.5,ok
coarse,2,300,0.7,6.5,ok
coarse,2,300,0.68,6.5,ok
coarse,2,300,0.6,8.5,ok
coarse,2,300,0.5,9.5,ok
coarse,2,300,0.4,9.5,ok
coarse,2,300,0.3,9.5,ok
coarse,2,300,0.2,9.5,ok
coarse,2,300,0.1,9.5,ok
coarse,2,301,0.8,3.5,ok
coarse,2,301,0.7,6.5,ok
coarse,2,301,0.68,6.5,ok
coarse,2,301,0.6,8.5,ok
coarse,2,301,0.5,9.5,ok
coarse,2,301,0.4,9.5,ok
coarse,2,301,0.3,9.5,ok
coarse,2,301,0.2,9.5,ok
coarse,2,301,0.1,9.5,ok
coarse,2,302,0.8,3.5,ok
coarse,2,302,0.7,6.5,ok
coarse,2,302,0.68,6.5,ok
coarse,2,302,0.6,8.5,ok
coarse,2,302,0.5,8.5,ok
coarse,2,302,0.4,8.5,ok
coarse,2,302,0.3,8.5,ok
coarse,2,302,0.2,8.5,ok
coarse,2,302,0.1,8.5,ok
fine,0,300,0.8,4.5,ok
fine,0,300,0.7,6.5,ok
fine,0,300,0.68,6.5,ok
fine,0,300,0.6,8.5,ok
fine,0,300,0.5,10.5,ok
fine,0,300,0.4,10.5,ok
fine,0,300,0.3,10.5,ok
fine,0,300,0.2,10.5,ok
fine,0,300,0.1,10.5,ok
fine,0,301,0.8,4.5,ok
fine,0,301,0.7,6.5,ok
fine,0,301,0.68,6.5,ok
fine,0,301,0.6,8.5,ok
fine,0,301,0.5,9.5,ok
fine,0,301,0.4,9.5,ok
fine,0,301,0.3,9.5,ok
fine,0,301,0.2,9.5,ok
fine,0,301,0.1,9.5,ok
fine,0,302,0.8,4.5,ok
fine,0,302,0.7,6.5,ok
fine,0,302,0.68,6.5,ok
fine,0,302,0.6,8.5,ok
fine,0,302,0.5,9.5,ok
fine,0,302,0.4,9.5,ok
fine,0,302,0.3,9.5,ok
fine,0,302,0.2,9.5,ok
fine,0,302,0.1,9.5,ok
fine,1,300,0.8,4.5,ok
fine,1,300,0.7,6.5,ok
fine,1,300,0.68,6.5,ok
fine,1,300,0.6,8.5,ok
fine,1,300,0.5,9.5,ok
fine,1,300,0.4,9.5,ok
fine,1,300,0.3,9.5,ok
fine,1,300,0.2,9.5,ok
fine,1,300,0.1,9.5,ok
fine,1,301,0.8,4.5,ok
fine,1,301,0.7,6.5,ok
fine,1,301,0.68,6.5,ok
fine,1,301,0.6,8.5,ok
fine,1,301,0.5,10.5,ok
fine,1,301,0.4,10.5,ok
fine,1,301,0.3,10.5,ok
fine,1,301,0.2,10.5,ok
fine,1,301,0.1,10.5,ok
fine,1,302,0.8,4.5,ok
fine,1,302,0.7,6.5,ok
fine,1,302,0.68,6.5,ok
fine,1,302,0.6,8.5,ok
fine,1,302,0.5,9.5,ok
fine,1,302,0.4,9.5,ok
fine,1,302,0.3,9.5,ok
fine,1,302,0.2,9.5,ok
fine,1,302,0.1,9.5,ok
fine,2,300,0.8,4.5,ok
fine,2,300,0.7,6.5,ok
fine,2,300,0.68,6.5,ok
fine,2,300,0.6,8.5,ok
fine,2,300,0.5,9.5,ok
fine,2,300,0.4,9.5,ok
fine,2,300,0.3,9.5,ok
fine,2,300,0.2,9.5,ok
fine,2,300,0.1,9.5,ok
fine,2,301,0.8,4.5,ok
fine,2,301,0.7,6.5,ok
fine,2,301,0.68,6.5,ok
fine,2,301,0.6,8.5,ok
fine,2,301,0.5,9.5,ok
fine,2,301,0.4,9.5,ok
fine,2,301,0.3,9.5,ok
fine,2,301,0.2,9.5,ok
fine,2,301,0.1,9.5,ok
fine,2,302,0.8,4.5,ok
fine,2,302,0.7,6.5,ok
fine,2,302,0.68,6.5,ok
fine,2,302,0.6,8.5,ok
fine,2,302,0.5,9.5,ok
fine,2,302,0.4,9.5,ok
fine,2,302,0.3,9.5,ok
fine,2,302,0.2,9.5,ok
fine,2,302,0.1,9.5,ok
medium,0,300,0.8,5.5,ok
medium,0,300,0.7,7.5,ok
medium,0,300,0.68,8.5,ok
medium,0,300,0.6,9.5,ok
medium,0,300,0.5,9.5,ok
medium,0,300,0.4,9.5,ok
medium,0,300,0.3,9.5,ok
medium,0,300,0.2,9.5,ok
medium,0,300,0.1,9.5,ok
medium,0,301,0.8,5.5,ok
medium,0,301,0.7,7.5,ok
medium,0,301,0.68,8.5,ok
medium,0,301,0.6,9.5,ok
medium,0,301,0.5,9.5,ok
medium,0,301,0.4,9.5,ok
medium,0,301,0.3,9.5,ok
medium,0,301,0.2,9.5,ok
medium,0,301,0.1,9.5,ok
medium,0,302,0.8,5.5,ok
medium,0,302,0.7,7.5,ok
medium,0,302,0.68,8.5,ok
medium,0,302,0.6,9.5,ok
medium,0,302,0.5,9.5,ok
medium,0,302,0.4,9.5,ok
medium,0,302,0.3,9.5,ok
medium,0,302,0.2,9.5,ok
medium,0,302,0.1,9.5,ok
medium,1,300,0.8,3.5,ok
medium,1,300,0.7,6.5,ok
medium,1,300,0.68,6.5,ok
medium,1,300,0.6,7.5,ok
medium,1,300,0.5,9.5,ok
medium,1,300,0.4,9.5,ok
medium,1,300,0.3,9.5,ok
medium,1,300,0.2,9.5,ok
medium,1,300,0.1,9.5,ok
medium,1,301,0.8,3.5,ok
medium,1,301,0.7,6.5,ok
medium,1,301,0.68,6.5,ok
medium,1,301,0.6,7.5,ok
medium,1,301,0.5,9.5,ok
medium,1,301,0.4,9.5,ok
medium,1,301,0.3,9.5,ok
medium,1,301,0.2,9.5,ok
medium,1,301,0.1,9.5,ok
medium,1,302,0.8,3.5,ok
medium,1,302,0.7,6.5,ok
medium,1,302,0.68,6.5,ok
medium,1,302,0.6,7.5,ok
medium,1,302,0.5,9.5,ok
medium,1,302,0.4,10.5,ok
medium,1,302,0.3,10.5,ok
medium,1,302,0.2,10.5,ok
medium,1,302,0.1,10.5,ok
medium,2,300,0.8,4.5,ok
medium,2,300,0.7,6.5,ok
medium,2,300,0.68,6.5,ok
medium,2,300,0.6,7.5,ok
medium,2,300,0.5,7.5,ok
medium,2,300,0.4,7.5,ok
medium,2,300,0.3,8.5,ok
medium,2,300,0.2,8.5,ok
medium,2,300,0.1,8.5,ok
medium,2,301,0.8,4.5,ok
medium,2,301,0.7,6.5,ok
medium,2,301,0.68,6.5,ok
medium,2,301,0.6,8.5,ok
medium,2,301,0.5,8.5,ok
medium,2,301,0.4,8.5,ok
medium,2,301,0.3,8.5,ok
medium,2,301,0.2,8.5,ok
medium,2,301,0.1,8.5,ok
medium,2,302,0.8,4.5,ok
medium,2,302,0.7,6.5,ok
medium,2,302,0.68,6.5,ok
medium,2,302,0.6,8.5,ok
medium,2,302,0.5,8.5,ok
medium,2,302,0.4,8.5,ok
medium,2,302,0.3,8.5,ok
medium,2,302,0.2,8.5,ok
medium,2,302,0.1,8.5,ok
