analog,struct_seed,nlat_z,nlat_xy,pitch_vox,R_vox,margin_vox,jitter_frac,neck_scale,frac_weak,weak_lo,weak_hi,normal_lo,normal_hi,min_p50_p10_ratio,geom_rng_seed,width_seed_requested,width_seed_accepted,width_draw_attempts,ysz_seed,ysz_sigma_vox,ysz_frac_of_rest,voxel_nm,axis,connectivity,shape_z,shape_y,shape_x,domain_voxels,n_particles,n_pairs,d_particle_nm,neck_p10_vox,neck_p50_vox,neck_p10_nm,neck_p50_nm,phi_ni,phi_ni_real,phi_ni_dev_pct,phi_ysz,phi_ysz_real,phi_ysz_dev_pct,ni_P_span,ni_n_clusters,ni_percolates,ni_P_largest,ysz_P_span,ysz_P_reach,ysz_P_largest,ysz_n_clusters,ysz_percolates,ysz_n_clusters_per_Mvox,ysz_edt_p50_nm,ysz_edt_mean_nm,ysz_edt_p90_nm,snow_n_nodes,snow_node_d_volwt_nm,snow_node_d_mean_nm,seconds,G1a_phi_ni,G1b_phi_ysz,G1c_ni_perc,G1d_ysz_perc,G1e_particles,G1f_neck_p10
fine,0,8,6,24,10.5,8,0.15,0.747,0.2,4,6,12,20,2.5,999,0,0,1,5000,2.603305785123967,0.6237037037037036,20.0,0,6,169,180,180,5475600,288,732,420.0,4.0,11.0,80.0,220.0,0.3206914310760465,0.322,-0.40638786458184306,0.4236872671488056,0.421,0.6383057360583438,1.0,1,True,1.0,0.9994736937388952,0.9995836102799122,0.9994736937388952,222,True,40.543502081963624,40.0,42.674705838153805,74.83314773547883,288,463.1117005641849,447.8187163373876,18.4,True,True,True,True,True,True
fine,1,8,6,24,10.5,8,0.15,0.747,0.2,4,6,12,20,2.5,1000,1,1,1,5001,2.603305785123967,0.6237037037037036,20.0,0,6,169,180,180,5475600,288,732,420.0,4.0,11.0,80.0,220.0,0.3204213236905545,0.322,-0.49027214579053596,0.42385565052231716,0.421,0.6783017867736763,1.0,1,True,1.0,0.9996919250761785,0.9997780998800446,0.9996919250761785,176,True,32.14259624516035,40.0,42.23553167670235,74.83314773547883,288,462.49506458657646,447.96242466251385,15.6,True,True,True,True,True,True
fine,2,8,6,24,10.5,8,0.15,0.747,0.2,4,6,12,20,2.5,1001,2,2,1,5002,2.603305785123967,0.6237037037037036,20.0,0,6,169,180,180,5475600,288,732,420.0,4.0,11.0,80.0,220.0,0.32137208707721526,0.322,-0.1950040132871881,0.42326265614727154,0.421,0.5374480159789924,1.0,1,True,1.0,0.9994390790195273,0.9996578382019117,0.9994390790195273,194,True,35.42990722477902,40.0,42.1328208755778,74.83314773547883,289,462.5540176016229,447.83357743447016,15.5,True,True,True,True,True,True
fine,3,8,6,24,10.5,8,0.15,0.747,0.2,4,6,12,20,2.5,1002,3,3,1,5003,2.603305785123967,0.6237037037037036,20.0,0,6,169,180,180,5475600,288,732,420.0,4.0,11.0,80.0,220.0,0.3188523632113376,0.322,-0.9775269530007522,0.4248343560523048,0.421,0.9107734090985298,1.0,1,True,1.0,0.9996311617587824,0.9997747421463893,0.9996311617587824,223,True,40.72613046972021,40.0,42.42953035173703,74.83314773547883,288,462.2580976880635,447.04452514884343,15.4,True,True,True,True,True,True
fine,4,8,6,24,10.5,8,0.15,0.747,0.2,4,6,12,20,2.5,1003,4,4,1,5004,2.603305785123967,0.6237037037037036,20.0,0,6,169,180,180,5475600,288,732,420.0,4.0,11.0,80.0,220.0,0.32102892833662067,0.322,-0.30157505073892593,0.42347669661772225,0.421,0.5882889828318913,1.0,1,True,1.0,0.9994363437121705,0.9996217853370876,0.9994363437121705,242,True,44.19606983709548,40.0,42.56289755989308,74.83314773547883,289,462.4761784804009,447.51769686045816,15.1,True,True,True,True,True,True
medium,0,7,5,30,12.1,8,0.15,0.807,0.2,4,6,12,20,2.5,999,0,0,1,5100,3.0,0.5173333333333333,20.0,0,6,181,190,190,6534100,175,430,484.0,4.0,12.0,80.0,240.0,0.2499507200685634,0.25,-0.019711972574643077,0.38802543579069804,0.388,0.006555616159284833,1.0,1,True,1.0,0.9990348651512958,0.9993097727890347,0.9990348651512958,228,True,34.89386449549288,40.0,43.747165000046664,80.0,175,534.5060541460634,515.6908201776129,15.2,True,True,True,True,True,True
medium,1,7,5,30,12.1,8,0.15,0.807,0.2,4,6,12,20,2.5,1000,1,1,1,5101,3.0,0.5173333333333333,20.0,0,6,181,190,190,6534100,175,430,484.0,4.0,12.0,80.0,240.0,0.25291899419966024,0.25,1.1675976798640963,0.386489952709631,0.388,-0.38918744597139715,1.0,1,True,1.0,0.99902707094898,0.999198135397511,0.99902707094898,240,True,36.730383679466186,40.0,43.52706428408599,80.0,176,536.4736923817744,516.205321969824,15.7,True,True,True,True,True,True
medium,2,7,5,30,12.1,8,0.15,0.807,0.2,4,6,12,20,2.5,1001,2,2,1,5102,3.0,0.5173333333333333,20.0,0,6,181,190,190,6534100,175,430,484.0,4.0,12.0,80.0,240.0,0.25134173030715784,0.25,0.5366921228631361,0.38730582635711114,0.388,-0.1789107327033179,1.0,1,True,1.0,0.9992500083969028,0.9994428408006496,0.9992500083969028,194,True,29.69039347423517,40.0,43.75698949897808,80.0,175,535.5741706050044,516.5767856021631,15.9,True,True,True,True,True,True
medium,3,7,5,30,12.1,8,0.15,0.807,0.2,4,6,12,20,2.5,1002,3,3,1,5103,3.0,0.5173333333333333,20.0,0,6,181,190,190,6534100,175,430,484.0,4.0,12.0,80.0,240.0,0.25298097672211933,0.25,1.1923906888477331,0.38645781362391146,0.388,-0.39747071548673973,1.0,1,True,1.0,0.9990555031495109,0.9992376702569428,0.9990555031495109,197,True,30.149523270228496,40.0,43.70607092719434,80.0,175,536.9091762374679,517.5053314098744,15.5,True,True,True,True,True,True
medium,4,7,5,30,12.1,8,0.15,0.807,0.2,4,6,12,20,2.5,1003,4,4,1,5104,3.0,0.5173333333333333,20.0,0,6,181,190,190,6534100,175,430,484.0,5.0,12.0,100.0,240.0,0.2535481550634364,0.25,1.419262025374568,0.3861644296842717,0.388,-0.4730851329196612,1.0,1,True,1.0,0.9980017731192116,0.9992489805753483,0.9980017731192116,243,True,37.18951347545951,40.0,43.88653635983195,80.0,175,537.3715866083701,517.9625774927366,16.5,True,True,True,True,True,True
