analog,struct_seed,neck_scale_solved,ni_solve_iters,ni_solve_failure,phi_ni,phi_ni_target,phi_ni_dev_pct,phi_ysz,phi_ysz_target,phi_ysz_dev_pct,ysz_solve_iters,n_ni_particles,n_ni_necks,n_ysz_grains,n_candidate_contacts,n_sintered_contacts,mean_coord_sintered,snow_node_d_volwt_nm,snow_n_nodes,ysz_grain_d_nm,r_ysz_vox,gap_vox,p_sinter,lattice,a_ysz_vox,w_ysz_vox,ysz_jitter,ni_jitter,pitch_vox,R_ni_vox,geom_rng_seed,width_seed_accepted,width_draw_attempts,ysz_geom_seed,ysz_sinter_seed,shape_z,shape_y,shape_x,domain_voxels,voxel_nm,axis,connectivity,neck_p10_vox,neck_p50_vox,ni_P_span,ni_n_clusters,ni_percolates,ysz_P_span,ysz_P_reach,ysz_P_largest,ysz_n_clusters,ysz_percolates,Q_ysz,ysz_edt_mean_nm,ysz_edt_p50_nm,filt_n,filt_threshold_vox,seconds,G1a_phi_ni,G1b_phi_ysz,G1c_ni_perc,G1d_ysz_perc,G1e_particles,G1f_neck_p10
fine,0,0.747,8,,0.3206914310760465,0.322,-0.40638786458184306,0.42109832712396816,0.421,0.023355611393866563,9,288,732,792,3494,3332,8.414141414141413,463.1117005641849,288,521.0178864001786,13.025447160004465,2.2333769274529693,0.955,FCC,40.0,8.0,0.02,0.15,24,10.5,999,0,1,91000,98717,169,180,180,5475600,20.0,0,6,4.0,11.0,1.0,1,True,0.9986889389469703,0.9997853208001158,0.9986889389469703,231,True,0.001311061053029694,57.43296986428636,44.721359549995796,1,925.6920492817753,95.2,True,True,True,True,True,True
fine,1,0.747,8,,0.3204213236905545,0.322,-0.49027214579053596,0.4209113156549054,0.421,-0.021065165105598475,11,288,732,792,3492,3321,8.386363636363637,462.49506458657646,288,521.2742925229932,13.031857313074829,2.220556621312241,0.955,FCC,40.0,8.0,0.02,0.15,24,10.5,1000,1,1,91001,98718,169,180,180,5475600,20.0,0,6,4.0,11.0,1.0,1,True,0.9990805912332053,0.9996498523478984,0.9990805912332053,351,True,0.0009194087667947493,57.375634859661865,44.721359549995796,0,927.059391606047,90.0,True,True,True,True,True,True
fine,2,0.747,8,,0.32137208707721526,0.322,-0.1950040132871881,0.4209449192782526,0.421,-0.013083306828353734,12,288,732,792,3469,3303,8.340909090909092,462.5540176016229,289,521.658901707215,13.041472542680376,2.2013261621011466,0.955,FCC,40.0,8.0,0.02,0.15,24,10.5,1001,2,1,91002,98719,169,180,180,5475600,20.0,0,6,4.0,11.0,1.0,1,True,0.9992307779078374,0.9996910963735929,0.9992307779078374,276,True,0.0007692220921625692,57.24829930074769,44.721359549995796,0,929.1129286885739,110.2,True,True,True,True,True,True
fine,3,0.7579374999999999,8,,0.3229733727810651,0.322,0.30228968356058195,0.420928117466579,0.421,-0.017074235966982695,11,288,732,792,3503,3333,8.416666666666666,464.37886165563253,288,521.2742925229932,13.031857313074829,2.220556621312241,0.955,FCC,40.0,8.0,0.02,0.15,24,10.5,1002,3,1,91003,98720,169,180,180,5475600,20.0,0,6,4.0,11.0,1.0,1,True,0.99933227295328,0.9997479211084183,0.99933227295328,279,True,0.0006677270467200236,57.185317979981114,44.721359549995796,0,927.059391606047,85.1,True,True,True,True,True,True
fine,4,0.747,8,,0.32102892833662067,0.322,-0.30157505073892593,0.42107239389290674,0.421,0.01719569902773218,11,288,732,792,3500,3346,8.44949494949495,462.4761784804009,289,520.761480277364,13.019037006934099,2.2461972335937013,0.955,FCC,40.0,8.0,0.02,0.15,24,10.5,1003,4,1,91004,98721,169,180,180,5475600,20.0,0,6,4.0,11.0,1.0,1,True,0.9990258602443417,0.9996512874605746,0.9990258602443417,251,True,0.0009741397556582987,57.32832787148442,44.721359549995796,0,924.3260521031227,83.5,True,True,True,True,True,True
medium,0,0.807,8,,0.2499507200685634,0.25,-0.019711972574643077,0.3879062150870051,0.388,-0.024171369328579266,12,175,430,665,2920,1524,4.583458646616541,534.5060541460634,175,556.5284259939505,13.91321064984876,4.700490634883664,0.523,FCC,46.0,10.0,0.02,0.15,30,12.1,999,0,1,91137,98717,181,190,190,6534100,20.0,0,6,4.0,12.0,1.0,1,True,0.9882787070872219,0.9976315957670939,0.9882787070872219,215,True,0.011721292912778125,64.58645159754569,48.98979485566356,5,1128.159983176152,95.7,True,True,True,True,True,True
medium,1,0.7933281250000002,8,,0.2495075067721645,0.25,-0.1969972911342044,0.3880352305596792,0.388,0.009080041154430177,9,175,430,665,2909,1514,4.553383458646617,533.5974413737904,176,558.1663080020028,13.95415770005007,4.618596534481046,0.523,FCC,46.0,10.0,0.02,0.15,30,12.1,1000,1,1,91138,98718,181,190,190,6534100,20.0,0,6,4.0,12.0,1.0,1,True,0.9900842489787853,0.9925670321886236,0.9900842489787853,184,True,0.00991575102121467,64.66123238263961,48.98979485566356,6,1138.1499655606046,111.6,True,True,True,True,True,True
medium,2,0.7960625000000001,8,,0.2493235487672365,0.25,-0.270580493105399,0.38802956795886195,0.388,0.007620607954108869,12,175,430,665,2883,1538,4.625563909774436,533.0531529466509,176,558.3152063663713,13.95788015915928,4.6111516162626245,0.523,FCC,46.0,10.0,0.02,0.15,30,12.1,1001,2,1,91139,98719,181,190,190,6534100,20.0,0,6,4.0,12.0,1.0,1,True,0.9904501180078756,0.9984771777817044,0.9904501180078756,238,True,0.009549881992124365,64.58911067950748,48.98979485566356,8,1139.0610589636601,105.0,True,True,True,True,True,True
medium,3,0.7933281250000002,8,,0.24886242940879386,0.25,-0.4550282364824576,0.38793621156700997,0.388,-0.0164403177809386,8,175,430,665,2892,1555,4.676691729323308,533.6691241664786,175,556.9751210870556,13.924378027176392,4.6781558802284025,0.523,FCC,46.0,10.0,0.02,0.15,30,12.1,1002,3,1,91140,98720,181,190,190,6534100,20.0,0,6,4.0,12.0,1.0,1,True,0.9910068352155227,0.995442269136907,0.9910068352155227,209,True,0.008993164784477314,64.34506866610299,48.98979485566356,5,1130.8787021208234,103.2,True,True,True,True,True,True
medium,4,0.7851250000000001,8,,0.2495896910056473,0.25,-0.16412359774108376,0.38790147074577985,0.388,-0.025394137685607936,12,175,430,665,2901,1455,4.37593984962406,534.2975482020455,175,557.4218161801609,13.935545404504023,4.655821125573141,0.523,FCC,46.0,10.0,0.02,0.15,30,12.1,1003,4,1,91141,98721,181,190,190,6534100,20.0,0,6,5.0,12.0,1.0,1,True,0.9853100327587887,0.989422339813153,0.9853100327587887,232,True,0.0146899672412113,64.67204144274811,48.98979485566356,8,1133.6017854001623,98.5,True,True,True,True,True,True
