op,arm,analog,struct_seed,damage_seed,transition_midpoint,bracket_flag,n_transition,phase,pristine_Q_ysz,n_secondary,retained_P_span_at_nsec,seconds,phi_ni_post,phi_ysz_post,ni_P_span,ni_P_reach,ni_P_largest,ni_n_clusters,ysz_P_span,ysz_P_largest,ysz_n_clusters,tpb_um2,ni_vol_loss_frac,ysz_vol_loss_frac
O1,main,fine,0,300,8.5,ok,9,Ni,0.001311061053029694,10,0.0,8.5,0.08276919424355322,0.42109832712396816,0.0,0.0,1.0,1,0.9986889389469703,0.9986889389469703,231,0.1282964423990065,0.7419039418489297,0.0
O1,main,fine,0,301,8.5,ok,9,Ni,0.001311061053029694,10,0.0,8.6,0.08332146248812916,0.42109832712396816,0.0,1.0,1.0,1,0.9986889389469703,0.9986889389469703,231,0.14747242311344874,0.7401818246014471,0.0
O1,main,fine,0,302,8.5,ok,9,Ni,0.001311061053029694,10,0.0,8.6,0.08262656147271531,0.42109832712396816,0.0,0.0,1.0,1,0.9986889389469703,0.9986889389469703,231,0.1561472715318869,0.7423487082412195,0.0
O1,main,fine,1,300,8.5,ok,9,Ni,0.0009194087667947493,10,0.0,8.6,0.08047903426108555,0.4209113156549054,0.0,1.0,1.0,1,0.9990805912332053,0.9990805912332053,351,0.10090218423551757,0.7488337126438944,0.0
O1,main,fine,1,301,9.5,ok,10,Ni,0.0009194087667947493,10,0.0,8.6,0.05709547812111915,0.4209113156549054,0.0,0.0,1.0,1,0.9990805912332053,0.9990805912332053,351,0.01461027102052743,0.8218112407017616,0.0
O1,main,fine,1,302,8.5,ok,9,Ni,0.0009194087667947493,10,0.0,8.6,0.08124936080064285,0.4209113156549054,0.0,1.0,1.0,1,0.9990805912332053,0.9990805912332053,351,0.12601358755204908,0.7464296075403862,0.0
O1,main,fine,2,300,7.5,ok,8,Ni,0.0007692220921625692,10,0.0,7.8,0.10615695083643802,0.4209449192782526,0.0,1.0,1.0,1,0.9992307779078374,0.9992307779078374,276,0.7323398349039375,0.6696758831736,0.0
O1,main,fine,2,301,8.5,ok,9,Ni,0.0007692220921625692,10,0.0,8.7,0.08075261158594492,0.4209449192782526,0.0,0.0,1.0,1,0.9992307779078374,0.9992307779078374,276,0.15432098765432098,0.7487254966031238,0.0
O1,main,fine,2,302,8.5,ok,9,Ni,0.0007692220921625692,10,0.0,8.6,0.08143673752648112,0.4209449192782526,0.0,0.0,1.0,1,0.9992307779078374,0.9992307779078374,276,0.15660384250127837,0.7465967307020211,0.0
O1,main,fine,3,300,9.5,ok,10,Ni,0.0006677270467200236,10,0.0,8.7,0.056538096281686025,0.420928117466579,0.0,0.0,1.0,1,0.99933227295328,0.99933227295328,279,0.026481116224705968,0.8249450231923247,0.0
