analog,struct_seed,n_rounds,P_span,n_candidates,n_severed,neck_thr_nm,ni_vol_loss
fine,0,20,1.0,138,138,200.00000233721948,0.012597538237950623
fine,1,20,1.0,146,146,200.00000233721948,0.015263616565184712
fine,2,20,1.0,150,150,200.00000233721948,0.01913218408767381
fine,3,20,1.0,160,160,200.00000233721948,0.01879078730633721
fine,4,20,1.0,141,141,200.00000233721948,0.012571779004292849
medium,0,20,1.0,78,78,200.00000233721948,0.012967157175195032
medium,1,20,1.0,84,84,200.00000233721948,0.010760550006839176
medium,2,20,1.0,84,84,200.00000233721948,0.018020937876932375
medium,3,20,1.0,81,81,200.00000233721948,0.017774517062995154
medium,4,20,1.0,72,72,200.00000233721948,0.015181709593314885
coarse,0,20,1.0,43,43,239.9999914359796,0.01955612904284043
coarse,1,20,1.0,37,37,239.9999914359796,0.01870488839015827
coarse,2,20,1.0,46,46,239.9999914359796,0.05267958341499379
coarse,3,20,1.0,42,42,239.9999914359796,0.023608848386980075
coarse,4,20,1.0,30,30,239.9999914359796,0.006132021382899144
