op,arm,analog,struct_seed,damage_seed,transition_midpoint,bracket_flag,n_transition,phase,pristine_Q_ysz,n_secondary,retained_P_span_at_nsec,seconds,phi_ni_post,phi_ysz_post,ni_P_span,ni_P_reach,ni_P_largest,ni_n_clusters,ysz_P_span,ysz_P_largest,ysz_n_clusters,tpb_um2,ni_vol_loss_frac,ysz_vol_loss_frac
O3,ctrl,fine,0,300,5.5,ok,6,YSZ,0.008740306379139806,2,0.9425571987069405,2.2,0.3206914310760465,0.4056249543429031,1.0,1.0,1.0,1,0.0,0.048227406980513636,504,28.795931039520784,0.0,0.03669263198070816
O3,ctrl,fine,0,301,4.5,ok,5,YSZ,0.008740306379139806,2,0.8973325600340015,2.3,0.3206914310760465,0.4064705237782161,1.0,1.0,1.0,1,0.0,0.060420906962847146,449,28.80232303309226,0.0,0.03468451276001461
O3,ctrl,fine,0,302,3.5,ok,4,YSZ,0.008740306379139806,2,0.9383646796654916,2.3,0.3206914310760465,0.4078356709766966,1.0,1.0,1.0,1,0.0,0.2329718849425362,378,28.59230038717218,0.0,0.031442462830277074
O3,ctrl,fine,1,300,4.5,ok,5,YSZ,0.007154754365723104,2,0.9178708105099688,2.2,0.3204213236905545,0.4072572868726715,1.0,1.0,1.0,1,0.0,0.09014124803024963,569,29.605887939221272,0.0,0.032740537680115867
O3,ctrl,fine,1,301,4.5,ok,5,YSZ,0.007154754365723104,2,0.9158256381583952,2.3,0.3204213236905545,0.4069150412740156,1.0,1.0,1.0,1,0.0,0.1011429448535616,574,29.57164511651691,0.0,0.03355339064655205
O3,ctrl,fine,1,302,5.5,ok,6,YSZ,0.007154754365723104,2,0.9224950056711511,2.1,0.3204213236905545,0.4057186427058222,1.0,1.0,1.0,1,0.0,0.05422512989786874,637,29.606344510190663,0.0,0.03639490600574291
O3,ctrl,fine,2,300,3.5,ok,4,YSZ,0.004420025648990578,2,0.9476477838780419,2.3,0.32137208707721526,0.4081605668785156,1.0,1.0,1.0,1,0.0,0.2368196860385409,438,29.294506538096282,0.0,0.030386591721172196
O3,ctrl,fine,2,301,4.5,ok,5,YSZ,0.004420025648990578,2,0.9439069828790816,2.2,0.32137208707721526,0.4069917451968734,1.0,1.0,1.0,1,0.0,0.1248768243016454,483,29.3470121995763,0.0,0.03316320775508863
O3,ctrl,fine,2,302,3.5,ok,4,YSZ,0.004420025648990578,2,0.941067994927878,2.3,0.32137208707721526,0.40791840163635035,1.0,1.0,1.0,1,0.0,0.22232514534844677,436,29.24747972824896,0.0,0.03096187185569932
O3,ctrl,fine,3,300,4.5,ok,5,YSZ,0.0018023816070339427,2,0.9625428742536704,2.3,0.3229733727810651,0.40665589159178905,1.0,1.0,1.0,1,0.0,0.1298621044287809,468,29.156622105340055,0.0,0.034327216395948046
O3,ctrl,fine,3,301,4.5,ok,5,YSZ,0.0018023816070339427,2,0.9350595128610273,2.3,0.3229733727810651,0.40637044342172546,1.0,1.0,1.0,1,0.0,0.10277998240096498,506,29.292223683249325,0.0,0.03500506106673584
O3,ctrl,fine,3,302,4.5,ok,5,YSZ,0.0018023816070339427,2,0.9521206113622569,2.3,0.3229733727810651,0.4064528088246037,1.0,1.0,1.0,1,0.0,0.08038918516714572,485,29.285375118708455,0.0,0.034809470569918566
O3,ctrl,fine,4,300,4.5,ok,5,YSZ,0.004955356232401842,2,0.9207004188836914,2.2,0.32102892833662067,0.4061722916210096,1.0,1.0,1.0,1,0.0,0.08185880001097104,498,28.82286872671488,0.0,0.034947845092613505
O3,ctrl,fine,4,301,4.5,ok,5,YSZ,0.004955356232401842,2,0.9300936161997074,2.2,0.32102892833662067,0.4063863320914603,1.0,1.0,1.0,1,0.0,0.16344532131588538,489,28.75164365548981,0.0,0.0344392918960833
O3,ctrl,fine,4,302,4.5,ok,5,YSZ,0.004955356232401842,2,0.9352606059693708,2.2,0.32102892833662067,0.4060501132296004,1.0,1.0,1.0,1,0.0,0.09446344464793953,505,28.753469939367374,0.0,0.03523813697698097
O3,ctrl,medium,0,300,3.5,ok,4,YSZ,0.014975884282421359,2,0.875882449853783,2.2,0.2499507200685634,0.3616637333374145,1.0,1.0,1.0,1,0.0,0.23654305043232604,378,16.535176994536354,0.0,0.06789359422800512
O3,ctrl,medium,0,301,4.5,ok,5,YSZ,0.014975884282421359,2,0.8677399822755976,2.2,0.2499507200685634,0.35915596639169894,1.0,1.0,1.0,1,0.0,0.12629662756454535,419,16.4862031496304,0.0,0.07435679586758992
O3,ctrl,medium,0,302,3.5,ok,4,YSZ,0.014975884282421359,2,0.9059614191616545,2.2,0.2499507200685634,0.36107681241486966,1.0,1.0,1.0,1,0.0,0.11281339644777799,400,16.578029108829064,0.0,0.06940625004930434
O3,ctrl,medium,1,300,4.5,ok,5,YSZ,0.008480665707017887,2,0.8670370903531124,2.2,0.2495075067721645,0.3606086530662218,1.0,1.0,1.0,1,0.0,0.06110464368639531,365,16.610550802711927,0.0,0.07074990633565359
O3,ctrl,medium,1,301,6.5,ok,7,YSZ,0.008480665707017887,2,0.8020385616874216,2.1,0.2495075067721645,0.35585803706707886,1.0,1.0,1.0,1,0.0,0.022914469734372608,463,16.566168255765906,0.0,0.08299173781870528
O3,ctrl,medium,1,302,4.5,ok,5,YSZ,0.008480665707017887,2,0.7987861340871797,2.1,0.2495075067721645,0.3597133499640348,1.0,1.0,1.0,1,0.0,0.06157156879054358,397,16.547420455762843,0.0,0.07305700707905272
O3,ctrl,medium,2,300,3.5,ok,4,YSZ,0.008466839526377501,2,0.8974031292508607,2.3,0.2493235487672365,0.36282012825025634,1.0,1.0,1.0,1,0.0,0.15636205800557892,402,16.748672349673253,0.0,0.06509725823466195
O3,ctrl,medium,2,301,4.5,ok,5,YSZ,0.008466839526377501,2,0.8615570406085253,2.2,0.2493235487672365,0.3597981359330283,1.0,1.0,1.0,1,0.0,0.08133155987115034,436,16.62929860271499,0.0,0.07288422671569839
O3,ctrl,medium,2,302,3.5,ok,4,YSZ,0.008466839526377501,2,0.8007488356418376,2.2,0.2493235487672365,0.36177178188273823,1.0,1.0,1.0,1,0.0,0.15006686117960805,399,16.741785402733353,0.0,0.06779860200530408
O3,ctrl,medium,3,300,4.5,ok,5,YSZ,0.006111445727293163,2,0.8985440130179843,2.2,0.24886242940879386,0.35821735204542327,1.0,1.0,1.0,1,0.0,0.06406913016506681,426,16.873402610918106,0.0,0.07676384472809905
O3,ctrl,medium,3,301,4.5,ok,5,YSZ,0.006111445727293163,2,0.9139482755062024,2.2,0.24886242940879386,0.3584827290675074,1.0,1.0,1.0,1,0.0,0.06986836364319435,422,16.816776602745595,0.0,0.07607988662230802
O3,ctrl,medium,3,302,3.5,ok,4,YSZ,0.006111445727293163,2,0.8534272524601232,2.1,0.24886242940879386,0.36080944583033625,1.0,1.0,1.0,1,0.0,0.10209347356276498,388,16.846237431321835,0.0,0.07008322279166135
O3,ctrl,medium,4,300,4.5,ok,5,YSZ,0.014609683876327773,2,0.8922102101188183,2.1,0.2495896910056473,0.36024838921963237,1.0,1.0,1.0,1,0.0,0.08298741789685964,433,16.583003014952325,0.0,0.07140140771172288
O3,ctrl,medium,4,301,4.5,ok,5,YSZ,0.014609683876327773,2,0.8539835760908857,2.2,0.2495896910056473,0.36040556465312745,1.0,1.0,1.0,1,0.0,0.06956736644803276,458,16.679420272110928,0.0,0.0709962625656142
O3,ctrl,medium,4,302,4.5,ok,5,YSZ,0.014609683876327773,2,0.8739451411550194,2.2,0.2495896910056473,0.3594366477403162,1.0,1.0,1.0,1,0.0,0.05859971600041727,457,16.622794263938413,0.0,0.07349380289668916
O3,ctrl,coarse,0,300,5.5,ok,6,YSZ,0.006686053848276807,2,0.9178915585829167,1.9,0.22871855843373043,0.3468670356577437,1.0,1.0,1.0,1,0.0,0.12074988733663812,276,10.516214431669539,0.0,0.0967212487472554
O3,ctrl,coarse,0,301,4.5,ok,5,YSZ,0.006686053848276807,2,0.9158049244701574,2.0,0.22871855843373043,0.3501673527933191,1.0,1.0,1.0,1,0.0,0.13752208035933902,244,10.430630969739564,0.0,0.08812687097564686
O3,ctrl,coarse,0,302,3.5,ok,4,YSZ,0.006686053848276807,2,0.9005983567157057,2.1,0.22871855843373043,0.35089063074464333,1.0,1.0,1.0,1,0.0,0.2300827712786336,230,10.46306671101896,0.0,0.08624337805899684
O3,ctrl,coarse,1,300,4.5,ok,5,YSZ,0.007698696053965337,2,0.8690351683456207,2.1,0.2301268167141453,0.35180789787634215,1.0,1.0,1.0,1,0.0,0.08809663877494438,234,10.79563075714868,0.0,0.0837741563839618
O3,ctrl,coarse,1,301,3.5,ok,4,YSZ,0.007698696053965337,2,0.908501479400549,2.1,0.2301268167141453,0.3540880914090774,1.0,1.0,1.0,1,0.0,0.1715649204593865,196,10.914040752421661,0.0,0.0778357671216704
O3,ctrl,coarse,1,302,5.5,ok,6,YSZ,0.007698696053965337,2,0.877729049582715,1.9,0.2301268167141453,0.3480631720060326,1.0,1.0,1.0,1,0.0,0.04904044278135964,269,10.692461652356384,0.0,0.09352667939537285
O3,ctrl,coarse,2,300,4.5,ok,5,YSZ,0.007150254679989088,2,0.9336134057318339,2.1,0.2281122054678375,0.34809521695524837,1.0,1.0,1.0,1,0.0,0.16598865576011393,201,10.463848295146175,0.0,0.09345281906647729
O3,ctrl,coarse,2,301,5.5,ok,6,YSZ,0.007150254679989088,2,0.9325891935594853,1.9,0.2281122054678375,0.34609983267847005,1.0,1.0,1.0,1,0.0,0.15840579343586444,223,10.398586020523773,0.0,0.09864941443143183
O3,ctrl,coarse,2,302,4.5,ok,5,YSZ,0.007150254679989088,2,0.8822773146041072,2.2,0.2281122054678375,0.3475801530154141,1.0,1.0,1.0,1,0.0,0.19709682032702483,212,10.487686611026213,0.0,0.0947942042390214
O3,ctrl,coarse,3,300,4.5,ok,5,YSZ,0.007794699555460749,2,0.9171147262043358,2.3,0.22903087945096529,0.3472350054648362,1.0,1.0,1.0,1,0.0,0.21850096832832588,238,10.735448779353174,0.0,0.09588078761834906
O3,ctrl,coarse,3,301,3.5,ok,4,YSZ,0.007794699555460749,2,0.8545009766951958,2.1,0.22903087945096529,0.3497238819595377,1.0,1.0,1.0,1,0.0,0.2669161069085799,209,10.742483036498104,0.0,0.0894003319595299
O3,ctrl,coarse,3,302,5.5,ok,6,YSZ,0.007794699555460749,2,0.9118023477962326,2.0,0.22903087945096529,0.343487934842145,1.0,1.0,1.0,1,0.0,0.06000911083775564,272,10.631107298370054,0.0,0.10563728822113483
O3,ctrl,coarse,4,300,4.5,ok,5,YSZ,0.00885634247835898,2,0.9124178704326692,2.1,0.22901915568905706,0.34954474287758014,1.0,1.0,1.0,1,0.0,0.1792637279585713,294,10.818687488901505,0.0,0.08951620127199733
O3,ctrl,coarse,4,301,6.5,ok,7,YSZ,0.00885634247835898,2,0.9083459435790775,1.9,0.22901915568905706,0.34518084606169136,1.0,1.0,1.0,1,0.0,0.05448704450159473,342,10.784297787304073,0.0,0.100883150514255
O3,ctrl,coarse,4,302,4.5,ok,5,YSZ,0.00885634247835898,2,0.9053894198312327,2.1,0.22901915568905706,0.34889352698278514,1.0,1.0,1.0,1,0.0,0.1456551270540206,294,10.797584717466718,0.0,0.09121246915691494
