op,analog,n_rounds,phase,P_span,vol_err,tpb,seconds
O5,fine,1,Ni,1.0,0.0,37.035210753159475,0.4
O5,fine,2,Ni,1.0,0.0,40.73891445686317,0.6
O5,fine,3,Ni,1.0,0.0,49.85161443494777,0.8
O5,fine,5,Ni,0.9986451994273277,0.0,65.30060632624735,1.2
O5,fine,8,Ni,0.9987972514462027,0.0,65.59600774344364,1.9
O5,fine,13,Ni,0.9990768677056319,0.0,59.38846884359705,2.9
O5,fine,20,Ni,0.9988080716273211,0.0,55.2688289867777,4.3
O5,medium,1,Ni,1.0,0.0,22.716211873096526,0.4
O5,medium,2,Ni,0.9975887871868959,0.0,23.75652346918474,0.7
O5,medium,3,Ni,0.995235129986903,0.0,29.183820265989194,0.9
O5,medium,5,Ni,0.9954182058200971,0.0,38.27879891645368,1.4
O5,medium,8,Ni,0.9957384354547475,0.0,42.16188916606725,2.1
O5,medium,13,Ni,0.9943270983460109,0.0,39.96571830856583,3.3
O5,medium,20,Ni,0.9956245488160381,0.0,36.03365421404631,5.0
O5,coarse,1,Ni,1.0,0.0,15.447228690265089,0.4
O5,coarse,2,Ni,1.0,0.0,16.05959985393756,0.7
O5,coarse,3,Ni,0.995907524264048,0.0,19.767825745506205,0.9
O5,coarse,5,Ni,0.9919421695178903,0.0,23.776961526052386,1.4
O5,coarse,8,Ni,0.9922989284247318,0.0,27.519967911282073,2.0
O5,coarse,13,Ni,0.9893402899042013,0.0,27.287446633435792,3.2
O5,coarse,20,Ni,0.9909819276326176,0.0,24.668749015204,4.8
