op,analog,n_rounds,phase,P_span,seconds
O1,fine,1,Ni,1.0,0.8
O1,fine,2,Ni,1.0,0.9
O1,fine,3,Ni,1.0,1.1
O1,fine,5,Ni,1.0,1.5
O1,fine,8,Ni,1.0,2.0
O1,fine,13,Ni,0.0,2.7
O1,fine,20,Ni,0.0,4.5
O1,medium,1,Ni,1.0,1.0
O1,medium,2,Ni,1.0,1.2
O1,medium,3,Ni,1.0,1.4
O1,medium,5,Ni,1.0,2.0
O1,medium,8,Ni,1.0,2.7
O1,medium,13,Ni,0.0,3.6
O1,medium,20,Ni,0.0,4.8
O1,coarse,1,Ni,1.0,0.8
O1,coarse,2,Ni,1.0,1.0
O1,coarse,3,Ni,1.0,1.2
O1,coarse,5,Ni,1.0,1.6
O1,coarse,8,Ni,1.0,2.4
O1,coarse,13,Ni,0.0,3.3
O1,coarse,20,Ni,0.0,4.9
O2,fine,1,Ni,1.0,0.5
O2,fine,2,Ni,1.0,0.5
O2,fine,3,Ni,1.0,0.7
O2,fine,5,Ni,1.0,0.8
O2,fine,8,Ni,1.0,0.9
O2,fine,13,Ni,1.0,1.0
O2,fine,20,Ni,1.0,0.6
O2,medium,1,Ni,1.0,0.2
O2,medium,2,Ni,1.0,0.3
O2,medium,3,Ni,1.0,0.3
O2,medium,5,Ni,1.0,0.3
O2,medium,8,Ni,1.0,0.3
O2,medium,13,Ni,1.0,0.4
O2,medium,20,Ni,1.0,0.3
O2,coarse,1,Ni,1.0,0.2
O2,coarse,2,Ni,1.0,0.2
O2,coarse,3,Ni,1.0,0.3
O2,coarse,5,Ni,1.0,0.3
O2,coarse,8,Ni,1.0,0.3
O2,coarse,13,Ni,1.0,0.3
O2,coarse,20,Ni,1.0,0.3
O3,fine,1,YSZ,0.9938992706407863,0.4
O3,fine,2,YSZ,0.9790002482716047,0.3
O3,fine,3,YSZ,0.9423990716340516,0.3
O3,fine,5,YSZ,0.59040667333169,0.2
O3,fine,8,YSZ,0.0,0.2
O3,fine,13,YSZ,0.0,0.1
O3,fine,20,YSZ,0.0,0.1
O3,medium,1,YSZ,0.9676937322546817,0.3
O3,medium,2,YSZ,0.8833213184744092,0.3
O3,medium,3,YSZ,0.6471320055476834,0.2
O3,medium,5,YSZ,0.0,0.2
O3,medium,8,YSZ,0.0,0.2
O3,medium,13,YSZ,0.0,0.1
O3,medium,20,YSZ,0.0,0.1
O3,coarse,1,YSZ,0.8287314134127288,0.2
O3,coarse,2,YSZ,0.4682198794965923,0.2
O3,coarse,3,YSZ,0.0,0.2
O3,coarse,5,YSZ,0.0,0.2
O3,coarse,8,YSZ,0.0,0.1
O3,coarse,13,YSZ,0.0,0.1
O3,coarse,20,YSZ,0.0,0.1
