anode,roi,frac_removed,lowarea_spans,random_span_rate
fine,0,0.02,True,1.0
fine,0,0.05,True,1.0
fine,0,0.1,True,1.0
fine,0,0.15,True,1.0
fine,0,0.25,True,1.0
fine,0,0.35,True,1.0
fine,0,0.5,True,1.0
fine,1,0.02,True,1.0
fine,1,0.05,True,1.0
fine,1,0.1,True,1.0
fine,1,0.15,True,1.0
fine,1,0.25,True,1.0
fine,1,0.35,True,1.0
fine,1,0.5,True,1.0
fine,2,0.02,True,1.0
fine,2,0.05,True,1.0
fine,2,0.1,True,1.0
fine,2,0.15,True,1.0
fine,2,0.25,True,1.0
fine,2,0.35,True,1.0
fine,2,0.5,True,1.0
medium,0,0.02,True,1.0
medium,0,0.05,True,1.0
medium,0,0.1,True,1.0
medium,0,0.15,True,1.0
medium,0,0.25,True,1.0
medium,0,0.35,True,1.0
medium,0,0.5,True,0.6666666666666666
medium,1,0.02,True,1.0
medium,1,0.05,True,1.0
medium,1,0.1,True,1.0
medium,1,0.15,True,1.0
medium,1,0.25,True,1.0
medium,1,0.35,True,1.0
medium,1,0.5,False,1.0
medium,2,0.02,True,1.0
medium,2,0.05,True,1.0
medium,2,0.1,True,1.0
medium,2,0.15,True,0.6666666666666666
medium,2,0.25,True,1.0
medium,2,0.35,False,1.0
medium,2,0.5,False,0.3333333333333333
coarse,0,0.02,True,1.0
coarse,0,0.05,True,1.0
coarse,0,0.1,True,1.0
coarse,0,0.15,True,1.0
coarse,0,0.25,True,1.0
coarse,0,0.35,True,1.0
coarse,0,0.5,False,0.3333333333333333
coarse,1,0.02,True,1.0
coarse,1,0.05,True,1.0
coarse,1,0.1,True,0.6666666666666666
coarse,1,0.15,True,0.6666666666666666
coarse,1,0.25,True,0.3333333333333333
coarse,1,0.35,True,0.3333333333333333
coarse,1,0.5,False,0.0
coarse,2,0.02,True,1.0
coarse,2,0.05,True,1.0
coarse,2,0.1,True,0.6666666666666666
coarse,2,0.15,True,1.0
coarse,2,0.25,False,0.3333333333333333
coarse,2,0.35,False,0.0
coarse,2,0.5,False,0.0
