mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
base,1.0,0,1.0,2,0.35,1,100,0.3298483455882353,0.31373943014705885,1.0,1.0,1.0,1.0,22.08065257352941,88.39269301470587,1.0,1.0,1.0,1.0,4.003173942452781,48118,82212,959,717750,682697
base,1.0,0,1.0,2,0.35,1,101,0.3298483455882353,0.3137509191176471,1.0,1.0,1.0,1.0,22.08065257352941,88.59834558823529,1.0,1.0,1.0,1.0,4.012487642437172,48118,82234,912,717750,682722
base,1.0,0,1.0,2,0.35,1,102,0.3298483455882353,0.3138915441176471,1.0,1.0,1.0,1.0,22.08065257352941,88.62477022058823,1.0,1.0,1.0,1.0,4.013684374837401,48118,81919,921,717750,683028
base,1.0,0,1.0,5,0.35,1,100,0.3298483455882353,0.23790533088235294,1.0,1.0,1.0,1.0,22.08065257352941,18.89705882352941,1.0,1.0,1.0,1.0,0.8558197616941569,48118,236973,11213,717750,517682
base,1.0,0,1.0,5,0.35,1,101,0.3298483455882353,0.23807904411764705,1.0,1.0,1.0,1.0,22.08065257352941,19.281939338235293,1.0,1.0,1.0,1.0,0.8732504292627088,48118,236510,11298,717750,518060
base,1.0,0,1.0,5,0.35,1,102,0.3298483455882353,0.23789338235294116,1.0,1.0,1.0,1.0,22.08065257352941,18.37660845588235,1.0,1.0,1.0,1.0,0.8322493365939956,48118,236877,11335,717750,517656
base,1.0,0,1.0,10,0.35,1,100,0.3298483455882353,0.11340165441176471,1.0,0.0,1.0,0.0,22.08065257352941,0.006893382352941175,1.0,1.0,0.0,0.0,0.0003121910609292887,48118,495728,23378,717750,246762
base,1.0,0,1.0,10,0.35,1,101,0.3298483455882353,0.11345680147058823,1.0,0.0,1.0,0.0,22.08065257352941,0.01723345588235294,1.0,1.0,0.0,0.0,0.0007804776523232218,48118,495797,23189,717750,246882
base,1.0,0,1.0,10,0.35,1,102,0.3298483455882353,0.11290670955882352,1.0,0.0,1.0,0.0,22.08065257352941,0.016084558823529414,1.0,1.0,0.0,0.0,0.0007284458088350072,48118,496702,23481,717750,245685
base,1.0,1,1.0,2,0.35,1,100,0.3248198529411765,0.3079108455882353,1.0,1.0,1.0,1.0,21.623391544117645,89.69324448529412,1.0,1.0,1.0,1.0,4.147973008873068,46513,82332,975,706808,670014
base,1.0,1,1.0,2,0.35,1,101,0.3248198529411765,0.3078667279411765,1.0,1.0,1.0,1.0,21.623391544117645,90.28147977941175,1.0,1.0,1.0,1.0,4.175176664364274,46513,82485,918,706808,669918
base,1.0,1,1.0,2,0.35,1,102,0.3248198529411765,0.3078915441176471,1.0,1.0,1.0,1.0,21.623391544117645,90.14016544117646,1.0,1.0,1.0,1.0,4.168641411189629,46513,82415,934,706808,669972
base,1.0,1,1.0,5,0.35,1,100,0.3248198529411765,0.2317876838235294,1.0,1.0,1.0,1.0,21.623391544117645,19.191176470588232,1.0,1.0,1.0,1.0,0.8875192604006162,46513,237486,11465,706808,504370
base,1.0,1,1.0,5,0.35,1,101,0.3248198529411765,0.23186764705882354,1.0,1.0,1.0,1.0,21.623391544117645,19.610523897058822,1.0,1.0,1.0,1.0,0.9069124913660274,46513,237340,11437,706808,504544
base,1.0,1,1.0,5,0.35,1,102,0.3248198529411765,0.23145726102941178,1.0,1.0,1.0,1.0,21.623391544117645,18.970588235294116,1.0,1.0,1.0,1.0,0.8773178895914139,46513,238143,11527,706808,503651
base,1.0,1,1.0,10,0.35,1,100,0.3248198529411765,0.10770542279411764,1.0,0.0,1.0,0.0,21.623391544117645,0.026424632352941176,1.0,1.0,0.0,0.0,0.001222039211519048,46513,496310,22644,706808,234367
base,1.0,1,1.0,10,0.35,1,101,0.3248198529411765,0.10784007352941176,1.0,0.0,1.0,1.0,21.623391544117645,0.008042279411764707,1.0,1.0,0.0,1.0,0.00037192497741884073,46513,496341,22320,706808,234660
base,1.0,1,1.0,10,0.35,1,102,0.3248198529411765,0.10773299632352941,1.0,0.0,1.0,0.0,21.623391544117645,0.014935661764705881,1.0,1.0,0.0,0.0,0.0006907178152064184,46513,496745,22149,706808,234427
