mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
base,1.0,0,1.0,6,0.35,1,100,0.3298483455882353,0.21095220588235294,1.0,1.0,1.0,1.0,22.08065257352941,7.1691176470588225,1.0,1.0,1.0,1.0,0.32467870336646026,48118,292057,14779,717750,459032
base,1.0,0,1.0,6,0.35,1,101,0.3298483455882353,0.2112329963235294,1.0,1.0,1.0,1.0,22.08065257352941,7.572380514705881,1.0,1.0,1.0,1.0,0.34294188043082363,48118,291441,14784,717750,459643
base,1.0,0,1.0,6,0.35,1,102,0.3298483455882353,0.21105974264705882,1.0,1.0,1.0,1.0,22.08065257352941,7.2277113970588225,1.0,1.0,1.0,1.0,0.3273323273843592,48118,292039,14563,717750,459266
base,1.0,0,1.0,7,0.35,1,100,0.3298483455882353,0.1847909007352941,1.0,1.0,1.0,1.0,22.08065257352941,2.2690716911764706,1.0,1.0,1.0,1.0,0.10276289088922422,48118,346189,17574,717750,402105
base,1.0,0,1.0,7,0.35,1,101,0.3298483455882353,0.18493060661764707,1.0,1.0,1.0,1.0,22.08065257352941,2.5608915441176467,1.0,1.0,1.0,1.0,0.11597897913523075,48118,345994,17465,717750,402409
base,1.0,0,1.0,7,0.35,1,102,0.3298483455882353,0.1847311580882353,1.0,1.0,1.0,1.0,22.08065257352941,2.277113970588235,1.0,1.0,1.0,1.0,0.10312711379364171,48118,346410,17483,717750,401975
base,1.0,0,1.0,8,0.35,1,100,0.3298483455882353,0.15895818014705881,1.0,1.0,1.0,1.0,22.08065257352941,0.6939338235294117,1.0,1.0,1.0,1.0,0.031427233466881734,48118,398799,21176,717750,345893
base,1.0,0,1.0,8,0.35,1,101,0.3298483455882353,0.15990395220588235,1.0,1.0,1.0,1.0,22.08065257352941,0.6330422794117646,1.0,1.0,1.0,1.0,0.028669545762006348,48118,398712,19205,717750,347951
base,1.0,0,1.0,8,0.35,1,102,0.3298483455882353,0.15962086397058822,1.0,1.0,1.0,1.0,22.08065257352941,0.6215533088235294,1.0,1.0,1.0,1.0,0.028149227327124205,48118,399278,19255,717750,347335
base,1.0,1,1.0,6,0.35,1,100,0.3248198529411765,0.20477619485294118,1.0,1.0,1.0,1.0,21.623391544117645,7.101332720588235,1.0,1.0,1.0,1.0,0.3284097550608363,46513,292774,14954,706808,445593
base,1.0,1,1.0,6,0.35,1,101,0.3248198529411765,0.20491130514705883,1.0,1.0,1.0,1.0,21.623391544117645,7.649356617647058,1.0,1.0,1.0,1.0,0.35375378566494875,46513,292596,14838,706808,445887
base,1.0,1,1.0,6,0.35,1,102,0.3248198529411765,0.20443841911764707,1.0,1.0,1.0,1.0,21.623391544117645,7.416130514705881,1.0,1.0,1.0,1.0,0.34296796131980234,46513,293301,15162,706808,444858
base,1.0,1,1.0,7,0.35,1,100,0.3248198529411765,0.178640625,1.0,1.0,1.0,1.0,21.623391544117645,2.3575367647058822,1.0,1.0,1.0,1.0,0.10902715052335159,46513,347021,17578,706808,388722
base,1.0,1,1.0,7,0.35,1,101,0.3248198529411765,0.1786295955882353,1.0,1.0,1.0,1.0,21.623391544117645,2.389705882352941,1.0,1.0,1.0,1.0,0.11051485043302695,46513,347109,17514,706808,388698
base,1.0,1,1.0,7,0.35,1,102,0.3248198529411765,0.1774499080882353,1.0,1.0,1.0,1.0,21.623391544117645,2.289751838235294,1.0,1.0,1.0,1.0,0.10589235428510706,46513,347521,19669,706808,386131
base,1.0,1,1.0,8,0.35,1,100,0.3248198529411765,0.15268795955882353,1.0,1.0,1.0,1.0,21.623391544117645,0.6353400735294118,1.0,1.0,1.0,1.0,0.029382073216088416,46513,399946,21126,706808,332249
base,1.0,1,1.0,8,0.35,1,101,0.3248198529411765,0.15291314338235293,1.0,1.0,1.0,1.0,21.623391544117645,0.6479779411764705,1.0,1.0,1.0,1.0,0.0299665267520323,46513,399769,20813,706808,332739
base,1.0,1,1.0,8,0.35,1,102,0.3248198529411765,0.15266636029411765,1.0,1.0,1.0,1.0,21.623391544117645,0.6341911764705881,1.0,1.0,1.0,1.0,0.029328941076457143,46513,400171,20948,706808,332202
base,1.0,2,1.0,6,0.35,1,100,0.3169315257352941,0.19688097426470588,1.0,1.0,1.0,1.0,21.91061580882353,7.542509191176471,1.0,1.0,1.0,1.0,0.34423994546693937,43569,289654,15145,689643,428413
base,1.0,2,1.0,6,0.35,1,101,0.3169315257352941,0.19695450367647058,1.0,1.0,1.0,1.0,21.91061580882353,7.826286764705882,1.0,1.0,1.0,1.0,0.35719154737559644,43569,289616,15023,689643,428573
base,1.0,2,1.0,6,0.35,1,102,0.3169315257352941,0.19680376838235294,1.0,1.0,1.0,1.0,21.91061580882353,7.680376838235293,1.0,1.0,1.0,1.0,0.3505322216978658,43569,289787,15180,689643,428245
base,1.0,2,1.0,7,0.35,1,100,0.3169315257352941,0.17129917279411766,1.0,1.0,1.0,1.0,21.91061580882353,2.3471966911764706,1.0,1.0,1.0,1.0,0.1071260028315243,43569,342702,17763,689643,372747
base,1.0,2,1.0,7,0.35,1,101,0.3169315257352941,0.17134880514705883,1.0,1.0,1.0,1.0,21.91061580882353,2.473575367647059,1.0,1.0,1.0,1.0,0.11289392270987364,43569,342670,17687,689643,372855
base,1.0,2,1.0,7,0.35,1,102,0.3169315257352941,0.1712247242647059,1.0,1.0,1.0,1.0,21.91061580882353,2.4827665441176467,1.0,1.0,1.0,1.0,0.11331340779193538,43569,342921,17706,689643,372585
base,1.0,2,1.0,8,0.35,1,100,0.3169315257352941,0.14622426470588235,1.0,1.0,1.0,1.0,21.91061580882353,0.6295955882352942,1.0,1.0,1.0,1.0,0.02873472812123119,43569,394020,21008,689643,318184
base,1.0,2,1.0,8,0.35,1,101,0.3169315257352941,0.14721783088235293,1.0,1.0,1.0,1.0,21.91061580882353,0.590533088235294,1.0,1.0,1.0,1.0,0.02695191652246867,43569,393609,19257,689643,320346
base,1.0,2,1.0,8,0.35,1,102,0.3169315257352941,0.14685661764705882,1.0,1.0,1.0,1.0,21.91061580882353,0.5801930147058822,1.0,1.0,1.0,1.0,0.026479995805149176,43569,394161,19491,689643,319560
base,1.0,3,1.0,6,0.35,1,100,0.3268065257352941,0.2066236213235294,1.0,1.0,1.0,1.0,20.99379595588235,6.861213235294117,1.0,1.0,1.0,1.0,0.32682099272150167,45679,289813,17384,711131,449613
base,1.0,3,1.0,6,0.35,1,101,0.3268065257352941,0.2070482536764706,1.0,1.0,1.0,1.0,20.99379595588235,7.2472426470588225,1.0,1.0,1.0,1.0,0.34520877797843813,45679,288986,17287,711131,450537
base,1.0,3,1.0,6,0.35,1,102,0.3268065257352941,0.20548345588235295,1.0,1.0,1.0,1.0,20.99379595588235,7.184053308823529,1.0,1.0,1.0,1.0,0.342198872653642,45679,289400,20278,711131,447132
base,1.0,3,1.0,7,0.35,1,100,0.3268065257352941,0.17997886029411764,1.0,1.0,1.0,1.0,20.99379595588235,2.1438419117647056,1.0,1.0,1.0,1.0,0.10211787883762928,45679,343538,21638,711131,391634
